"","words","index"
"11","adluminal","Compartiment adluminal, 426, 426f"
"12","anexe","Glande genitale anexe, la sexul masculin.
structunle specifice corpul vitros. 456. 4571, 458f. 462 cristalin. 456, 457f. 458f, 462. 462b, 462f retina. 458f. 462-467, 463f, 464f, 465f, 466f, 467f, 468f structuri anexe ale. 467-468. 469f, 470f tunica externă (fibroasă) a, 456-457, 457f. 458f. 459f tunica mi|locie (vasculară, uveea) a, 457-461, 457f, 458f, 459f. 460f, 461f
glande genitale anexe, 418f, 429-433, 432f penis, 418f, 433, 433b. 433f testicule, 418-428, 418f"
"13","adrenergic","Fibre adrenergice, 179"
"14","alveolar","Alveolă dentară (os alveolar), 283, 285f, 287, 289f
Celule alveolare, 349 de tip I (celule alveolare pavimentoase), 352f, 353, 353f, 355f de tip II (celule alveolare septale), 352f, 353-357, 354f, 355f. 356f regenerarea, 357
de tip I (celule alveolare pavimentoase), 352f, 353, 353f, 355f de tip II (celule alveolare septale), 352f, 353-357, 354f, 355f. 356f regenerarea, 357
de tip I (celule alveolare pavimentoase), 352f, 353, 353f, 355f de tip II (celule alveolare septale), 352f, 353-357, 354f, 355f. 356f regenerarea, 357
ale corpului carotidian, 209, 210f alveolare (pavimentoase), 352f. 353, 353f, 354f, 355f
ale corpului carotidian, 209, 21 Of alveolare (mari/septale), 352f, 353-357, 354f. 355f, 356f regenerarea, 357
capilar, 212, 215f alveolar, 350. 352f, 353, 353f corneean, 457 originea, 92f vascular, 205, 206, 206f, 207f bolile asociate cu. 206b
Coniotage (macrofage alveolare), 352f, 354f, 357
ale glandelor salivare, 317, 318f ale glandelor sudoripare, 370f, 371f, 372, 372f alveolare, 340f, 349, 351f, 352f biliare, (canale Hering). 325f, 329, 332f, 336 glandulare. 80, 80f hepatice, 329, 336 lactifere, 452, 452f, 453 limfatice, 221 pancreatice, 321-322, 321f, 322f papilare, 373, 374f, 375f, 381-384, 383f, 386f semicirculare, 470f, 471, 472f funcţiile vestibulare ale, 472f, 473
alveolar, 350, 352f. 353, 353f
al septului interalveolar, 350, 352f renal, 388 testicular, 427-428, 428f
Lichid bronho-alveolar, 357
depozite citoplasmatice de (picături lipidice), 23, 47, 48f în celulele epiteliale alveolare mamare. 453, 454f
activate, 95b alveolare, 352f, 354f, 357 funcţii ale, 93t. 95-96b, 97t hepatice (celule Kupffer). 97t, 325f, 326, 329f intestinale, 300, 307f, 308f, 310f lizozomii din, 38, 39f originea şi maturarea, 92f, 93. 95. 249 rolul în apoptozâ, 64, 64b. 65f
în peretele duetelor alveolare, 349, 351f originea, 92f regenerarea, 202 vascular, 205, 206
Orificii, alveolare, 349
alveolari, 352f, 357 gustativi, 283, 284f nucleari, 51-54, 53f, 54f
a celulelor alveolare pulmonare. 357 a ţesutului muscular, 202 a ţesutului nervos, 179, 179b, 180b epidermică, 361 psoriazisul şi, 363b hepatică, 335, 335-336b
Saci alveolari, 340f, 349, 350f, 351
alveolar, 350, 353, 353f capilar, 214-215
Sept/perete interalveolar, 350-351, 351f, 352f, 353f. 354f
ale celulelor endoteliale capilare, 213, 215f, 217f din celulele alveolare de tip I (pavimentoase), 353 din celulele tubilor contorţi proximali, 375-376 din fibrele musculare netede, 198, 203f"
"15","amiloid","Concreţiuni prostatice (corpusculi amiloidieni), 433"
"16","anagen","Anagen, 368"
"17","anafază","Anafază, 58, 58f, 59f. 60, 62f"
"18","anticorp","Anticorpi, 14, 99b, 254-255, 255f, 256f, 256t acţiuni ale, 255, 256f clase de, 254-255, 256t marcare, pentru imunohistochimie, 14 producţia plasmocitară de, 99b, 101f, 254, 258. 260, 261f, 262f
Anticorpi antispermatici, 427b
Anticorpi monoclonali, imunocitochimia şi, 14-15
Anticorpi policlonali, în imunocitochimie, 1415
imunocitochimia şi identificarea, 16t inactivarea de către anticorpi a, 255, 256f
Aur, pentru marcarea anticorpilor, 15, 19f
adaptativă, 260 anticorpii şi, 254-255, 255f. 256f. 256t antigenele şi, 254 celulară, 254, 260, 261f, 262f complementul şi. 255, 256f complexul major de histocompatibilitate
tipurile specifice, Ig şi Anticorpi clase de, 254-255, 256t
Interacţiune antigen-anticorp, 99b
localizare, în celule şi ţesuturi, 10 pentru marcarea anticorpilor, 10, 15
anticorpii produşi de, 99b, 254. 258, 260, 261 f, 262f funcţiile, 93t, 99b, 258, 260, 261f, 262f. vezi şi Imunitate
Regiune variabila (a anticorpilor), 254"
"19","antigenică","şi prezentarea antigenică, 259, 259f, 260, 261f, 262f
Prezentare antigenică, 259, 259f, 260, 261f, 262f"
"20","deschis","Circuite neurale, 153, Circulaţie deschisă, splenică, 275f, 277
Sistem canalicular deschis, al plachetelor, 236, 236f"
"21","aplazie","Metaplazie, 81b mieloidă. 277b"
"22","apoptoză","citoscheletul, 23, 42-50 componentele citoplasmatice ale, 22-42 boli asociate cu anomalii ale, 50b, 50t comunicarea între, 27-28. vezi şi Joncţiuni celulare diferenţierea, 22, 23t ecologia, 22 eucariote. 22. 22f fracţionarea, 9, 11f. 12f interacţiunea cu matricea extracelulară a, 115. 117f joncţiunile între, 27, 68f, 69-70, 69f, 70f, 71f nucleul, 51-65, 51f, 52f picnotic, în apoptoză, 64, 64f procariote, 22 proliferarea, 62-63b
Moarte celulară, programată (apoptoză), 64, 64b, 64f, 65f involuţia corpului galben prin, 440 rolul limfocitelor T citotoxice/CD8+ în, 258
celulari, 22, 51-65, 51f, 52f ai celulelor epiteliale, 66 picnotici, în apoptoză, 64, 64f neuronali, 165
acrozomale, 423f, 424 de apoptoză, 64, 65b de pinocitoză, 26, 27f, 82"
"23","apendice","Apendice, 315
specifice apendice, 315 cancer al, 315b cavitatea orală, 282-287, 288f, 289f celulele enteroendocrine din, 294-295, 295b, 297f, 298f, 298t esofagul, 287-288, 290f intestinul gros, 311-313, 313f, 314f, 315f intestinul subţire, 298-311, 312f organele asociate cu. 317-339. vezi şi organele specifice tumori ale, 337b protecţia imunologică a, 300, 310f reînnoirea celulelor din, 313, 314f stomacul, 288-298. 291f, 299f structura, 281, 282f"
"24","arahnoidian","Spaţiu subarahnoidian, 167, 169f"
"25","arahnoidian","Spaţiu subarahnoidian, 167, 169f"
"26","argirofil","Celule argirofile, 84
Fibre reticulare argirofile, 108. I10f"
"27","arteră","Arteră ciliară, 457 f
Arteră hepatică, 325f, 328
Arteră hipofizară inferioară, 392, 394f
Arteră hipofizară superioară, 392, 394f
Arteră renală, 385
Arteră splenică, 274"
"28","astrocit","Astrocite, 161-162, 162f, 162t, 163f, 164f, 169f ale glandei pineale, 417
Astrocite fibroase. 161, 162f, 163f, 164f
Astrocite protoplasmice, 161, 162f, 163f
între astrocite, 162"
"29","atrezie","Atrezie foliculară, 435-439, 442f"
"30","auditive","Oscioare auditive, 407-471, 470f, 474
ai canalului epididimar, 429 ai celulelor păroase (auditive), 471. 472, 474 funcţia vestibulară a, 473
externă, 469, 470f funcţiile auditive ale, 470f, 474 funcţiile vestibulare ale, 472f, 473 internă, 469, 470f, 471, 473f medie, 469-470, 470f transmiterea undelor sonore în, 470f, 474
funcţii auditive ale. 470f, 474 funcţiile vestibulare ale, 472f, 473 transmiterea undelor sonore la nivelul, 469, 470f, 474"
"31","autofagozom","Autofagozomi, 38, 41f"
"32","axolemă","Axolemă, 157
a axonului (axolemă), 157 a celulelor musculare (sarcolemă), 182, 183f a eritrocitelor, 225 structura, 22f, 23-25, 23f, 24f, 25f, 26f"
"33","axon","Axon, 154f, 155, 155f, 157-158 al neuronului motor, 154f, 195 degenerarea şi regenerarea, 179b, 180f
Axonemâ. 44, 46f
specifice axonală, 157, 158 a celulelor musculare (sarcoplasmâ), 182, 189
Flux axonal anterograd, 158 retrograd, 158
a axonului (axolemă), 157 a celulelor musculare (sarcolemă), 182, 183f a eritrocitelor, 225 structura, 22f, 23-25, 23f, 24f, 25f, 26f
Mezaxon, 171f, 173f
Proeminenţă axonală, 154f, 156f, 157
Ramuri colaterale, axonale, 154f, 158
Segment iniţial, al axonului, 154f, 158
Sinapsă axoaxonică, 159, 159f
Tipar 9+2 (axonemă), 44, 46f"
"34","axonale","Ramuri colaterale, axonale, 154f, 158"
"35","axonal","specifice axonală, 157, 158 a celulelor musculare (sarcoplasmâ), 182, 189
Flux axonal anterograd, 158 retrograd, 158
Proeminenţă axonală, 154f, 156f, 157
Ramuri colaterale, axonale, 154f, 158"
"36","axonemă","Tipar 9+2 (axonemă), 44, 46f"
"37","axon","Axon, 154f, 155, 155f, 157-158 al neuronului motor, 154f, 195 degenerarea şi regenerarea, 179b, 180f
Axonemâ. 44, 46f
specifice axonală, 157, 158 a celulelor musculare (sarcoplasmâ), 182, 189
Flux axonal anterograd, 158 retrograd, 158
a axonului (axolemă), 157 a celulelor musculare (sarcolemă), 182, 183f a eritrocitelor, 225 structura, 22f, 23-25, 23f, 24f, 25f, 26f
Mezaxon, 171f, 173f
Proeminenţă axonală, 154f, 156f, 157
Ramuri colaterale, axonale, 154f, 158
Segment iniţial, al axonului, 154f, 158
Sinapsă axoaxonică, 159, 159f
Tipar 9+2 (axonemă), 44, 46f"
"38","axoplasmă","Axoplasmă, 157, 158 rS-endorfine, 161f. vezi şi Endorfine fi-globuline, 223"
"39","bazală","asociat fibrilelor, 103, 103r care formează fibrile, 103, 103t, 104f care formează reţele, 103t, 104 de ancorare, 103t, 104, 104f, 105f din cartilaj, 128, 128f, 129, 129f din pericondru, 129-130 din lamina bazalâ/membrana bazală, 67, 67f, 68f din matricea osoasă, 138 din membrana bazală glomerulară, 373374, 379f din tegument, 367 senescenţa şi, 367b din vasele sanguine/adventice, 206, 207 sinteza de, 104-107, 106f boli asociate cu. 107b, 107t tipuri de, 103, 103t
asociat fibrilelor, 103, 103r care formează fibrile, 103, 103t, 104f care formează reţele, 103t, 104 de ancorare, 103t, 104, 104f, 105f din cartilaj, 128, 128f, 129, 129f din pericondru, 129-130 din lamina bazalâ/membrana bazală, 67, 67f, 68f din matricea osoasă, 138 din membrana bazală glomerulară, 373374, 379f din tegument, 367 senescenţa şi, 367b din vasele sanguine/adventice, 206, 207 sinteza de, 104-107, 106f boli asociate cu. 107b, 107t tipuri de, 103, 103t
Deciduâ (bazală/capsulară/parietală), 450, 450f
în membrana bazală glomerulară, 373
în membrana bazală, 67
Lamina bazalâ, 67-68, 67f. vezi şi Membrană bazală capilară, 212, 215f dermicâ, 366
din membrana bazală glomerulară, 373
Membrană bazală, 67f, 68, 68f dermicâ, 366 glomerulară, 373-374, 377f, 379f
în membrana bazală, 67 localizarea, în celule şi ţesuturi, 12-13
Zona bazală, endometrialâ, 446"
"40","bazofil","Bazofile, 224t, 226. 227f, 230-232, 232f, 233f boli asociate cu, 232b funcţii ale, 93t, 224t, 232 granulele specifice ale, 228t, 232, 232f, 233f
bazofile), 239f
Celulă formatoare de colonii de bazofile
Corpi bazofili, 329
ale bazofilelor, 228t, 232, 232f, 233f ale eozinofilelor, 228t, 229, 230f, 231f ale neutrofilelor, 228, 228t. 229f, 230f
Granulocite, 226, 227f vezi şi Bazofile;
în bazofile, 232
cutanată bazofilicâ, 232b imediată. vezi Reacţii de hipersensibilitate imediată
depozitarea/secreţia mastocitară de, 97, 97-99b. 99f, 100f în bazofile. 232
a bazofilelor, 232, 232f a mastocitelor, 97
bazofile, 239f, 243f, 247 eozinofile. 239f, 243f, 247, 248f neutrofile. 239f, 243f, 247, 247f, 248f
preparare, pentru examinare microscopică, 1-3, 2f distorsiuni şi artefacte cauzate de, 18 pentru microscopia electronică, 6-7 probleme legate de interpretarea secţiunilor, 18-20, 20f tipuri fundamentale de, 66, 66t. vezi şi Ţesut conjunctiv; Ţesut epitelial; Ţesut muscular; Ţesut nervos totalitatea, interpretarea unei secţiuni şi, 20 Ţesuturi bazofile, 2"
"41","bipolar","bipolari, 154f, 155, 155f retinieni, 458f, 464f degenerarea şi regenerarea fibrelor nervoase şi, 179, 179b, 180f motori (eferenţi), 153f, 154f, 156, 157, 175f multipolari, 154f . 155, 155f plasticitatea, 180 pseudounipolari, 154f, 155, 155f senzitivi (aferenţi), 153f, 156. 165. 175f"
"42","bipolar","bipolari, 154f, 155, 155f retinieni, 458f, 464f degenerarea şi regenerarea fibrelor nervoase şi, 179, 179b, 180f motori (eferenţi), 153f, 154f, 156, 157, 175f multipolari, 154f . 155, 155f plasticitatea, 180 pseudounipolari, 154f, 155, 155f senzitivi (aferenţi), 153f, 156. 165. 175f"
"43","blastice","Fibre Tomes (procese odontoblastice), 284, 285, 287f
Procese odontoblastice (fibre Tomes), 284, 287f"
"44","bronho","Astm, bronhoconstricţia în, 349b
Lichid bronho-alveolar, 357"
"45","bulbul","dermice, 360, 360f, 366 ale bulbului firului de pâr, 368. 369f vase ale, 360f, 367 linguale, 282-283, 283f"
"46","bulb","Bulb al firului de păr, 368-369, 369f
Butoni (bulbi) terminali, 155
Cowper (bulbouretrale), 418f. 433
dermice, 360, 360f, 366 ale bulbului firului de pâr, 368. 369f vase ale, 360f, 367 linguale, 282-283, 283f
Uretră bulbară, 390"
"47","calcificat","Zonă de cartilaj calcificat, 144, 144f"
"48","calmodulină","Calmodulină, şi contracţia musculaturii netede, 199
Complex calciu-calmodulină, 199"
"49","canalicular ","Sistem canalicular deschis, al plachetelor, 236, 236f"
"50","capsulă","Capsulă a cristalinului, 457, 462, 462f a ganglionilor limfatici, 269. 270f. 271f a glandelor salivare, 317 amigdaliană. 264, 265f articulară, 149f, 150. 151f"
"51","cardiac ","Sistem intracardiac de conducere, 217-219, 219f, 220f"
"52","cardiomiocit","depozitarea în/eliberarea din adipocite a, 124, 125f în cardiomiocite, 198
Cardiomiocite, 197, 199f, 201f
Diade, în cardiomiocite, 198
în cardiomiocite, 198
boli care afectează, 31b, 32f, 50t în cardiomiocite, 198, 199f, 201f
în cardiomiocite, 198, 200f, 201f"
"53","catagen","Catagen. 368"
