"","term_id","oTerms","nTerms","base","oWords","matchWords","c..celulă....nucleu....citoplasmă....citosol....organite...","c..........................................multinucleată....multinucleată...","c..................................................primordială...","c.............................................................","c..............................................................1"
"46",10090,"central microbutule","( microtubul central )","microbutule","peroxysoma","microtubul","microtubul","central","","",""
"47",10096,"dynein","dineină","dynein","leucocytus","dineină","dineină","","","",""
"48",10104,"flagellum","flagel","flagel","matrix","flagel","flagel","","","",""
"49",10106,"intercellular junctions","joncțiuni intercelulare","intercelular","peroxysomatica","intercelulare","joncțiuni","intercelulare","","",""
"50",10106,"intercellular junctions","joncțiuni intercelulare","intersecții","exocytosis","intercelulare","joncțiuni","intercelulare","","",""
"51",10112,"tight junction","joncțiune strânsă","strâns","macrophagocytus","strânsă","joncțiune","strânsă","","",""
"52",10112,"tight junction","joncțiune strânsă","joncțiune","medulla","joncțiune","joncțiune","strânsă","","",""
"53",10112,"occluding junction","joncțiune strânsă","ocluzie","spinalis","","joncțiune","strânsă","","",""
"54",10112,"occluding junction","joncțiune strânsă","joncțiune","mastocytus","joncțiune","joncțiune","strânsă","","",""
"55",10120,"desmosome","desmozom","desmosome","macula","desmozom","desmozom","","","",""
"56",10120,"macula adherens","desmozom","macula","adhaerens","","desmozom","","","",""
"57",10120,"macula adherens","desmozom","adherens","desmosoma","","desmozom","","","",""
"58",10120,"spot desmosome","desmozom","punct","fibra","","desmozom","","","",""
"59",10120,"spot desmosome","desmozom","desmosome","collageni","desmozom","desmozom","","","",""
"60",10129,"gap junction","joncțiune gap","decalaj","zonula","","joncțiune","gap","","",""
"61",10129,"gap junction","joncțiune gap","joncțiune","occludens","joncțiune","joncțiune","gap","","",""
"62",10129,"nonvesicular synapse","joncțiune gap","nonvesicular","zonula","","joncțiune","gap","","",""
"63",10129,"nonvesicular synapse","joncțiune gap","synapse","occludens","","joncțiune","gap","","",""
"64",10129,"electrical synapse","joncțiune gap","electric","lingua","","joncțiune","gap","","",""
"65",10129,"electrical synapse","joncțiune gap","synapse","lymphocytus","","joncțiune","gap","","",""
"66",10134,"hemidesmosome","hemidesmozom","hemidesmosome","endocytosis","hemidesmozom","hemidesmozom","","","",""
"67",10142,"nucleus","nucleu","nucleu","granulum","nucleu","nucleu","","","",""
"68",10157,"pyknotic nucleus","nucleu picnotic","picnotic","phagosoma","picnotic","nucleu","picnotic","","",""
"69",10157,"pyknotic nucleus","nucleu picnotic","nucleu","corpusculum","nucleu","nucleu","picnotic","","",""
"70",10160,"spherical nucleus","nucleu sferic","sferic","residuale","sferic","nucleu","sferic","","",""
"71",10160,"spherical nucleus","nucleu sferic","nucleu","cilium","nucleu","nucleu","sferic","","",""
"72",10186,"chromatin","cromatină","cromatinei","flagellum","cromatină","cromatină","","","",""
"73",10187,"heterochromatin","heterocromatină","heterochromatin","azurophilum","heterocromatină","heterocromatină","","","",""
"74",10205,"nucleolus","nucleol","nucleoli","perikaryon","nucleol","nucleol","","","",""
"75",10217,"cytocentre","centrozom","cytocentre","thrombocytus","centrozom","centrozom","","","",""
"76",10217,"centrosome","centrozom","centrozom","chylomicron","centrozom","centrozom","","","",""
"77",10218,"centriole","centriol","centriole","lamellosum","centriol","centriol","","","",""
"78",10223,"mitochondrion","mitocondrie","mitochondrion","lamina","mitocondrie","mitocondrie","","","",""
"79",10228,"thin myofilament","filament de actină","subțire","nexus","","filament","de","actină","",""
"80",10228,"thin myofilament","filament de actină","myofilament","macula","filament","filament","de","actină","",""
"81",10228,"actin filament","filament de actină","actina","communicans","actină","filament","de","actină","",""
"82",10228,"actin filament","filament de actină","filament","synapsis","filament","filament","de","actină","",""
"83",10244,"endoplasmic reticulum","reticul endoplasmic","endoplasmatic","granulosum","endoplasmic","reticul","endoplasmic","","",""
"84",10244,"endoplasmic reticulum","reticul endoplasmic","stomac","synapsis","endoplasmic","reticul","endoplasmic","","",""
"85",10249,"neurofilament","neurofilament","neurofilament","neurotransmittens","neurofilament","neurofilament","","","",""
"86",1024900,"cistern","cisternă","cisternă","cerebelli","cisternă","cisternă","","","",""
"87",10254,"rough endoplasmic reticulum","reticul endoplasmic rugos","dur","axosomatica","rugos","reticul","endoplasmic","rugos","",""
"88",10254,"rough endoplasmic reticulum","reticul endoplasmic rugos","endoplasmatic","systema","endoplasmic","reticul","endoplasmic","rugos","",""
"89",10254,"rough endoplasmic reticulum","reticul endoplasmic rugos","stomac","nervosum","endoplasmic","reticul","endoplasmic","rugos","",""
"90",10256,"smooth endoplasmic reticulum","reticul endoplasmic neted","neted","synapsis","neted","reticul","endoplasmic","neted","",""
"91",10256,"smooth endoplasmic reticulum","reticul endoplasmic neted","endoplasmatic","axodendritica","endoplasmic","reticul","endoplasmic","neted","",""
"92",10256,"smooth endoplasmic reticulum","reticul endoplasmic neted","stomac","synapsis","endoplasmic","reticul","endoplasmic","neted","",""
"93",10260,"ribosome","ribozom","ribosome","myosinum","ribozom","ribozom","","","",""
"94",10263,"polyribosome","poliribozom","polyribosome","granulosum","poliribozom","poliribozom","","","",""
"95",10263,"polysome","poliribozom","polizom","reticulum","poliribozom","poliribozom","","","",""
"96",10274,"golgi vesicle","veziculă Golgi","golgi","sinusoideus","Golgi","veziculă","Golgi","","",""
"97",10274,"golgi vesicle","veziculă Golgi","veziculă","sinus","veziculă","veziculă","Golgi","","",""
"98",10277,"lysosome","lizozom","lizozom","interphasis","lizozom","lizozom","","","",""
"99",10293,"telolysosome","corp rezidual","telolysosome","mitosis","","corp","rezidual","","",""
"100",10293,"residual body","corp rezidual","rezidual","phasis","rezidual","corp","rezidual","","",""
"101",10293,"residual body","corp rezidual","corp","m","corp","corp","rezidual","","",""
"102",10296,"peroxisome","peroxizom","peroxizomilor","prophasis","peroxizom","peroxizom","","","",""
"103",10296,"microbody","peroxizom","microbody","metaphasis","","peroxizom","","","",""
"104",10298,"peroxisomal matrix","matrice a peroxizomului","zellweger","chromosoma","","matrice","a","peroxizomului","",""
"105",10298,"peroxisomal matrix","matrice a peroxizomului","matrice","capsula","matrice","matrice","a","peroxizomului","",""
"106",10299,"exocytosis","exocitoză","exocitoza","textus","exocitoză","exocitoză","","","",""
"107",10302,"secretory vacuole vesicle","granulă secretorie","secretorie","squamosa","secretorie","granulă","secretorie","","",""
"108",10302,"secretory vacuole vesicle","granulă secretorie","vacuole","cellula","granulă","granulă","secretorie","","",""
"109",10302,"secretory vacuole vesicle","granulă secretorie","veziculă","plana","","granulă","secretorie","","",""
"110",10302,"secretory granule","granulă secretorie","secretorie","glycocalyx","secretorie","granulă","secretorie","","",""
"111",10302,"secretory granule","granulă secretorie","granulă","stereocilium","granulă","granulă","secretorie","","",""
"112",10302,"secretory","granulă secretorie","secretorie","cilium","secretorie","granulă","secretorie","","",""
"113",10309,"endocytosis","endocitoză","endocytosis","epithelialis","endocitoză","endocitoză","","","",""
"114",10310,"pinocytosis","pinocitoză","pinocitoza","plexus","pinocitoză","pinocitoză","","","",""
"115",10314,"phagocytosis","fagocitoză","fagocitoză","venularis","fagocitoză","fagocitoză","","","",""
"116",10317,"pinocytotic vesicle","veziculă de pinocitoză","pinocytotic","actini","pinocitoză","veziculă","de","pinocitoză","",""
"117",10317,"pinocytotic vesicle","veziculă de pinocitoză","veziculă","myofilamentum","veziculă","veziculă","de","pinocitoză","",""
"118",10317,"pinosome","veziculă de pinocitoză","pinosome","tenue","pinocitoză","veziculă","de","pinocitoză","",""
"119",10331,"phagosome","vacuolă de fagocitoză","phagosome","epithelium","","vacuolă","de","fagocitoză","",""
"120",10335,"residual body","corp rezidual","rezidual","polus","rezidual","corp","rezidual","","",""
"121",10335,"residual body","corp rezidual","corp","apicalis","corp","corp","rezidual","","",""
"122",10344,"glycogen granule","incluziune de glicogen","glicogen","systemata","glicogen","incluziune","de","glicogen","",""
"123",10344,"glycogen granule","incluziune de glicogen","granulă","genitalia","","incluziune","de","glicogen","",""
"124",10348,"fat inclusion","incluziune lipidică","grăsime","microtubulus","","incluziune","lipidică","","",""
"125",10348,"fat inclusion","incluziune lipidică","includere","centralis","incluziune","incluziune","lipidică","","",""
"126",10348,"fat globule","incluziune lipidică","grăsime","flagellum","","incluziune","lipidică","","",""
"127",10348,"fat globule","incluziune lipidică","pilulă","junctiones","lipidică","incluziune","lipidică","","",""
"128",10353,"cytoskeleton","citoschelet","citoscheletului","cerebri","citoschelet","citoschelet","","","",""
"129",10354,"microtubule","microtubul","microtubuli","muscularis","microtubul","microtubul","","","",""
"130",10355,"tubulin","tubulină","tubulinei","myeloblastus","tubulină","tubulină","","","",""
"131",10361,"dynein","dineină","dynein","myelocytus","dineină","dineină","","","",""
"132",10363,"cilium","cil","cilium","apex","cil","cil","","","",""
"133",10364,"flagellum","flagel","flagel","cellularis","flagel","flagel","","","",""
"134",10365,"microfilament","filament de actină","microfilament","corpus","filament","filament","de","actină","",""
"135",10365,"actin filament","filament de actină","actina","pineale","actină","filament","de","actină","",""
"136",10365,"actin filament","filament de actină","filament","infundibulum","filament","filament","de","actină","",""
"137",10370,"myosin","miozină","myosin","polus","miozină","miozină","","","",""
"138",10384,"tonofilament","tonofilament","tonofilament","megakaryocytus","tonofilament","tonofilament","","","",""
"139",10385,"tonofibril","tonofibrilă","tonofibril","medulla","tonofibrilă","tonofibrilă","","","",""
"140",10396,"interphase","interfază","interfază","basalis","interfază","interfază","","","",""
"141",10406,"centriole","centriol","centriole","corpusculum","centriol","centriol","","","",""
"142",10422,"mitosis","mitoză","mitoză","basis","mitoză","mitoză","","","",""
"143",10422,"m phase","mitoză","m","cellularis","","mitoză","","","",""
"144",10422,"m phase","mitoză","fază","facies","mitoză","mitoză","","","",""
"145",10428,"prophase","profază","prophase","apicalis","profază","profază","","","",""
"146",10432,"metaphase","metafază","metafază","mesothelium","metafază","metafază","","","",""
"147",10442,"chromosome","cromozom","cromozom","glandula","cromozom","cromozom","","","",""
"148",10529,"parenchyma","parenchim","parenchim","perineurium","parenchim","parenchim","","","",""
"149",10530,"stroma","stromă","stroma","stratum","stromă","stromă","","","",""
"150",10531,"capsule","capsulă","capsula","secretio","capsulă","capsulă","","","",""
"151",10532,"basement membrane","membrană bazală","subsol","lamina","","membrană","bazală","","",""
"152",10532,"basement membrane","membrană bazală","membrană","muscularis","membrană","membrană","bazală","","",""
"153",10540,"hyperplasia","hiperplazie","hiperplazie","ossium","hiperplazie","hiperplazie","","","",""
"154",10541,"hypertrophy","hipertrofie","hipertrofie","medulla","hipertrofie","hipertrofie","","","",""
"155",10545,"metaplasia","metaplazie","metaplazie","ossium","metaplazie","metaplazie","","","",""
"156",10570,"gap junction","joncțiune gap","decalaj","endocrinocytus","","joncțiune","gap","","",""
"157",10570,"gap junction","joncțiune gap","joncțiune","pinealis","joncțiune","joncțiune","gap","","",""
"158",10570,"nonvesicular synapse","joncțiune gap","nonvesicular","parathyrocytus","","joncțiune","gap","","",""
"159",10570,"nonvesicular synapse","joncțiune gap","synapse","endocrinus","","joncțiune","gap","","",""
"160",10570,"electrical synapse","joncțiune gap","electric","lucidus","","joncțiune","gap","","",""
"161",10570,"electrical synapse","joncțiune gap","synapse","parathyrocytus","","joncțiune","gap","","",""
"162",10571,"thin myofilament","filament de actină","subțire","non","","filament","de","actină","",""
"163",10571,"thin myofilament","filament de actină","myofilament","vesicularis","filament","filament","de","actină","",""
"164",10571,"actin myofilament","filament de actină","actina","synapsis","actină","filament","de","actină","",""
"165",10571,"actin myofilament","filament de actină","myofilament","electrica","filament","filament","de","actină","",""
"166",10572,"epithelial tissue","țesut epitelial","epiteliale","apocrina","epitelial","țesut","epitelial","","",""
"167",10572,"epithelial tissue","țesut epitelial","țesut","secretio","epitelial","țesut","epitelial","","",""
"168",10573,"epithelium","epiteliu","epiteliu","exocrina","epiteliu","epiteliu","","","",""
"169",10576,"epithelial cell","celulă epitelială","epiteliale","cellula","epitelială","celulă","epitelială","","",""
"170",10576,"epithelial cell","celulă epitelială","celulă","epithelialis","epitelială","celulă","epitelială","","",""
"171",10578,"apical pole","pol apical","apical","glandula","apical","pol","apical","","",""
"172",10578,"apical pole","pol apical","pol","exocrina","apical","pol","apical","","",""
"173",10578,"cell apex","pol apical","celulă","epitheliocytus","","pol","apical","","",""
"174",10578,"cell apex","pol apical","apex","caliciformis","apical","pol","apical","","",""
"175",10579,"basal pole","pol bazal","bazale","glandula","bazal","pol","bazal","","",""
"176",10579,"basal pole","pol bazal","pol","tubulosa","bazal","pol","bazal","","",""
"177",10579,"cell base","pol bazal","celulă","simplex","","pol","bazal","","",""
"178",10579,"cell base","pol bazal","de bază","glandula","bazal","pol","bazal","","",""
"179",10581,"apical surface","suprafață apicală","apical","tubulosa","apicală","suprafață","apicală","","",""
"180",10581,"apical surface","suprafață apicală","suprafață","ramosa","suprafață","suprafață","apicală","","",""
"181",10581,"apical aspect","suprafață apicală","apical","glandula","apicală","suprafață","apicală","","",""
"182",10581,"apical aspect","suprafață apicală","aspect","tubuloacinosa","apicală","suprafață","apicală","","",""
"183",10597,"serous cell","celulă seroasă","seros","radicis","seroasă","celulă","seroasă","","",""
"184",10597,"serous cell","celulă seroasă","celulă","dentis","celulă","celulă","seroasă","","",""
"185",10600,"endocrine cell","celulă endocrină","endocrin","basale","endocrină","celulă","endocrină","","",""
"186",10600,"endocrine cell","celulă endocrină","celulă","cellula","celulă","celulă","endocrină","","",""
"187",10605,"surface epithelium","epiteliu de acoperire","suprafață","multinucleata","","epiteliu","de","acoperire","",""
"188",10605,"surface epithelium","epiteliu de acoperire","epiteliu","cortex","epiteliu","epiteliu","de","acoperire","",""
"189",10606,"simple squamous epithelium","epiteliu simplu scuamos","simplu","fibra","simplu","epiteliu","simplu","scuamos","",""
"190",10606,"simple squamous epithelium","epiteliu simplu scuamos","scuamoase","collageni","scuamos","epiteliu","simplu","scuamos","",""
"191",10606,"simple squamous epithelium","epiteliu simplu scuamos","epiteliu","fibra","epiteliu","epiteliu","simplu","scuamos","",""
"192",10607,"endothelium","endoteliu","endoteliul","simplex","endoteliu","endoteliu","","","",""
"193",10610,"endothelial cell","celulă endotelială","endoteliale","neuron","endotelială","celulă","endotelială","","",""
"194",10610,"endothelial cell","celulă endotelială","celulă","corbiferum","endotelială","celulă","endotelială","","",""
"195",10624,"mesothelium","mezoteliu","mesothelium","composita","mezoteliu","mezoteliu","","","",""
"196",10626,"simple cuboidal epithelium","epiteliu simplu cubic","simplu","ovarii","simplu","epiteliu","simplu","cubic","",""
"197",10626,"simple cuboidal epithelium","epiteliu simplu cubic","prismatică","stroma","","epiteliu","simplu","cubic","",""
"198",10626,"simple cuboidal epithelium","epiteliu simplu cubic","epiteliu","ovarii","epiteliu","epiteliu","simplu","cubic","",""
"199",10627,"simple columnar epithelium","epiteliu simplu columnar","simplu","medulla","simplu","epiteliu","simplu","columnar","",""
"200",10627,"simple columnar epithelium","epiteliu simplu columnar","în formă de coloană","ovarii","","epiteliu","simplu","columnar","",""
"201",10627,"simple columnar epithelium","epiteliu simplu columnar","epiteliu","folliculus","epiteliu","epiteliu","simplu","columnar","",""
"202",10628,"pseudostratified columnar epithelium","epiteliu pseudostratificat columnar","pseudostratificat","ovaricus","pseudostratificat","epiteliu","pseudostratificat","columnar","",""
"203",10628,"pseudostratified columnar epithelium","epiteliu pseudostratificat columnar","în formă de coloană","primordialis","","epiteliu","pseudostratificat","columnar","",""
"204",10628,"pseudostratified columnar epithelium","epiteliu pseudostratificat columnar","epiteliu","zona","epiteliu","epiteliu","pseudostratificat","columnar","",""
"205",10632,"nonkeratinized stratified squamous epithelium","epiteliu stratificat scuamos nekeratinizat","nonkeratinized","pellucida","nekeratinizat","epiteliu","stratificat","scuamos","nekeratinizat",""
"206",10632,"nonkeratinized stratified squamous epithelium","epiteliu stratificat scuamos nekeratinizat","stratificat","capsula","nekeratinizat","epiteliu","stratificat","scuamos","nekeratinizat",""
"207",10632,"nonkeratinized stratified squamous epithelium","epiteliu stratificat scuamos nekeratinizat","scuamoase","pellucida","scuamos","epiteliu","stratificat","scuamos","nekeratinizat",""
"208",10632,"nonkeratinized stratified squamous epithelium","epiteliu stratificat scuamos nekeratinizat","epiteliu","theca","epiteliu","epiteliu","stratificat","scuamos","nekeratinizat",""
"209",10637,"keratinized stratified squamous epithelium","epiteliu stratificat scuamos keratinizat","keratinizat","labyrinthus","keratinizat","epiteliu","stratificat","scuamos","keratinizat",""
"210",10637,"keratinized stratified squamous epithelium","epiteliu stratificat scuamos keratinizat","stratificat","membranaceus","keratinizat","epiteliu","stratificat","scuamos","keratinizat",""
"211",10637,"keratinized stratified squamous epithelium","epiteliu stratificat scuamos keratinizat","scuamoase","vestibulocytus","scuamos","epiteliu","stratificat","scuamos","keratinizat",""
"212",10637,"keratinized stratified squamous epithelium","epiteliu stratificat scuamos keratinizat","epiteliu","cellula","epiteliu","epiteliu","stratificat","scuamos","keratinizat",""
"213",10638,"stratified cuboidal epithelium","epiteliu stratificat cubic","stratificat","sensoria","stratificat","epiteliu","stratificat","cubic","",""
"214",10638,"stratified cuboidal epithelium","epiteliu stratificat cubic","prismatică","pilosa","","epiteliu","stratificat","cubic","",""
"215",10638,"stratified cuboidal epithelium","epiteliu stratificat cubic","epiteliu","macula","epiteliu","epiteliu","stratificat","cubic","",""
"216",10639,"stratified columnar epithelium","epiteliu stratificat cilindric","stratificat","sacculi","stratificat","epiteliu","stratificat","cilindric","",""
"217",10639,"stratified columnar epithelium","epiteliu stratificat cilindric","în formă de coloană","macula","","epiteliu","stratificat","cilindric","",""
"218",10639,"stratified columnar epithelium","epiteliu stratificat cilindric","epiteliu","utriculi","epiteliu","epiteliu","stratificat","cilindric","",""
"219",10655,"glandular epithelium","epiteliu glandular","glandular","dentis","glandular","epiteliu","glandular","","",""
"220",10655,"glandular epithelium","epiteliu glandular","epiteliu","cavitas","epiteliu","epiteliu","glandular","","",""
"221",10656,"gland","glandă","glandă","acinus","glandă","glandă","","","",""
"222",10658,"apocrine secretion","secreție apocrină","apocrine","myoepitheliocytus","apocrină","secreție","apocrină","","",""
"223",10658,"apocrine secretion","secreție apocrină","secreție","myoepitheliocytus","secreție","secreție","apocrină","","",""
"224",10661,"exocrine secretion","secreție exocrină","exocrin","glandula","exocrină","secreție","exocrină","","",""
"225",10661,"exocrine secretion","secreție exocrină","secreție","endocrina","secreție","secreție","exocrină","","",""
"226",10668,"exocrine gland","glandă exocrină","exocrin","plasmocytus","exocrină","glandă","exocrină","","",""
"227",10668,"exocrine gland","glandă exocrină","glandă","cellula","glandă","glandă","exocrină","","",""
"228",10670,"goblet cell","celulă caliciformă","cupă","pigmentata","celulă","celulă","caliciformă","","",""
"229",10670,"goblet cell","celulă caliciformă","celulă","proteoglycanum","celulă","celulă","caliciformă","","",""
"230",10674,"simple gland","glandă simplă","simplu","crista","simplă","glandă","simplă","","",""
"231",10674,"simple gland","glandă simplă","glandă","ampullaris","glandă","glandă","simplă","","",""
"232",10675,"tubular gland","glandă tubulară","tubular","saccus","tubulară","glandă","tubulară","","",""
"233",10675,"tubular gland","glandă tubulară","glandă","endolymphaticus","tubulară","glandă","tubulară","","",""
"234",10676,"simple tubular gland","glandă tubulară simplă","simplu","collagenum","simplă","glandă","tubulară","simplă","",""
"235",10676,"simple tubular gland","glandă tubulară simplă","tubular","procollagenum","tubulară","glandă","tubulară","simplă","",""
"236",10676,"simple tubular gland","glandă tubulară simplă","glandă","tropocollagenum","tubulară","glandă","tubulară","simplă","",""
"237",10677,"branched tubular gland","glandă tubulară ramificată","ramificat","elastinum","ramificată","glandă","tubulară","ramificată","",""
"238",10677,"branched tubular gland","glandă tubulară ramificată","tubular","haemocyti","tubulară","glandă","tubulară","ramificată","",""
"239",10677,"branched tubular gland","glandă tubulară ramificată","glandă","erythroblastus","tubulară","glandă","tubulară","ramificată","",""
"240",10679,"acinar gland","glandă acinară","acinare","lamina","acinară","glandă","acinară","","",""
"241",10679,"acinar gland","glandă acinară","glandă","basilaris","glandă","glandă","acinară","","",""
"242",10687,"compound tubulo-acinar gland","glandă tubuloacinară compusă","compus","actinum","compusă","glandă","tubuloacinară","compusă","",""
"243",10687,"compound tubulo-acinar gland","glandă tubuloacinară compusă","tubulo-acinare","desminum","tubuloacinară","glandă","tubuloacinară","compusă","",""
"244",10687,"compound tubulo-acinar gland","glandă tubuloacinară compusă","glandă","myoepitheliocytus","glandă","glandă","tubuloacinară","compusă","",""
"245",10704,"acinus","acin","acin","granulum","acin","acin","","","",""
"246",10707,"myoepithelial cell","celulă mioepitelială","myoepithelial","zymogeni","mioepitelială","celulă","mioepitelială","","",""
"247",10707,"myoepithelial cell","celulă mioepitelială","celulă","glycocalyx","mioepitelială","celulă","mioepitelială","","",""
"248",10713,"myo-epithelial cell","celulă mioepitelială","mio-epiteliale","granulum","mioepitelială","celulă","mioepitelială","","",""
"249",10713,"myo-epithelial cell","celulă mioepitelială","celulă","zymogeni","mioepitelială","celulă","mioepitelială","","",""
"250",10726,"endocrine gland","glandă endocrină","endocrin","myoepitheliocytus","endocrină","glandă","endocrină","","",""
"251",10726,"endocrine gland","glandă endocrină","glandă","papilla","glandă","glandă","endocrină","","",""
"252",10735,"fibroblast","fibroblast","fibroblaste","autonomicum","fibroblast","fibroblast","","","",""
"253",10736,"fibrocyte","fibrocit","fibrocyte","rubra","fibrocit","fibrocit","","","",""
"254",10738,"adipocyte","adipocit","adipocite","nervosum","adipocit","adipocit","","","",""
"255",10739,"plasmocyte","plasmocit","plasmocyte","cellula","plasmocit","plasmocit","","","",""
"256",10739,"plasma cell","plasmocit","plasma","precursoria","plasmocit","plasmocit","","","",""
"257",10739,"plasma cell","plasmocit","celulă","kinocilium","","plasmocit","","","",""
"258",10739,"plasmacyte","plasmocit","plasmacyte","dyneinum","plasmocit","plasmocit","","","",""
"259",10742,"macrophage","macrofag","macrofage","follicularis","macrofag","macrofag","","","",""
"260",10747,"mast cell","mastocit","catarg","meninges","","mastocit","","","",""
"261",10747,"mast cell","mastocit","celulă","mesaxon","","mastocit","","","",""
"262",10747,"mastocyte","mastocit","mastocyte","microtubulus","mastocit","mastocit","","","",""
"263",10750,"myofibroblast","miofibroblast","myofibroblast","myofilamentum","miofibroblast","miofibroblast","","","",""
"264",10751,"pigmented cell","celulă pigmentară","pigmentat","nucleus","pigmentară","celulă","pigmentară","","",""
"265",10751,"pigmented cell","celulă pigmentară","celulă","heterochromatinum","celulă","celulă","pigmentară","","",""
"266",10753,"melanocyte","melanocit","melanocite","monocytus","melanocit","melanocit","","","",""
"267",10754,"extracellular matrix","matrice extracelulară","extracelular","microvillus","extracelulară","matrice","extracelulară","","",""
"268",10754,"extracellular matrix","matrice extracelulară","matrice","mitochondrion","extracelulară","matrice","extracelulară","","",""
"269",10756,"glycosaminoglycan","glicozaminoglican","glicozaminoglican","myofibrilla","glicozaminoglican","glicozaminoglican","","","",""
"270",10758,"proteoglycan","proteoglican","proteoglican","cytocentrum","proteoglican","proteoglican","","","",""
"271",10759,"collagen","colagen","colagen","centrosoma","colagen","colagen","","","",""
"272",10760,"procollagen","procolagen","procolagenului","vesicula","procolagen","procolagen","","","",""
"273",10762,"collagen fascicle","fascicul de colagen","colagen","neurofibra","colagen","fascicul","de","colagen","",""
"274",10762,"collagen fascicle","fascicul de colagen","fascicul","afferens","fascicul","fascicul","de","colagen","",""
"275",10762,"collagen bundle","fascicul de colagen","colagen","neurofibra","colagen","fascicul","de","colagen","",""
"276",10762,"collagen bundle","fascicul de colagen","pachet","non","","fascicul","de","colagen","",""
