"","words","index"
"36","cartilaj","în cartilaj, 129, 129f
în cartilaj, 114, 129 in matricea osoasă, 137
Cartilaj, 118f, 128-133 vezi şi tipurile specifice al discurilor intervertebrale, 132-133, 150, 150f articular, 128-129, 143-144. 143f, 149150, 149f, 150f creşterea, 131 efectele obezităţii asupra, 150b bronşic. 345, 346f. 347 elastic, 128, 132, 132f epifizar (cartilaj de creştere), 129, 142f, 143f. 144, 144f, 147f fibrocartilaj, 128, 132, 133f
specifice al discurilor intervertebrale, 132-133, 150, 150f articular, 128-129, 143-144. 143f, 149150, 149f, 150f creşterea, 131 efectele obezităţii asupra, 150b bronşic. 345, 346f. 347 elastic, 128, 132, 132f epifizar (cartilaj de creştere), 129, 142f, 143f. 144, 144f, 147f fibrocartilaj, 128, 132, 133f
Cartilaj aritenoid, 344
Cartilaj corniculat, 344
Cartilaj cricoid, 344
Cartilaj cuneiform, 344
Cartilaj hialin. 128, 128f, 129-132. 129f.
Cartilaj tiroid. 344
asociat fibrilelor, 103, 103r care formează fibrile, 103, 103t, 104f care formează reţele, 103t, 104 de ancorare, 103t, 104, 104f, 105f din cartilaj, 128, 128f, 129, 129f din pericondru, 129-130 din lamina bazalâ/membrana bazală, 67, 67f, 68f din matricea osoasă, 138 din membrana bazală glomerulară, 373374, 379f din tegument, 367 senescenţa şi, 367b din vasele sanguine/adventice, 206, 207 sinteza de, 104-107, 106f boli asociate cu. 107b, 107t tipuri de, 103, 103t
Condrocite, 128. vezi şi Cartilaj
în cartilaj, 129, 129f
intervertebrale, 132-133 cartilaj al. 132-133, 150, 150f hernie a, 133b
în cartilaj, 128. 132
in cartilaj. 132-132f in peretele vaselor sanguine/adventice.
anormale, elasticitatea tegumentului şi, 367b din cartilaj, 128f, 129 sinteza de, 104, 105, 106f
în cartilaj, 129
în cartilaj, 129
cartilaj derivat din, 131. 131f
boli asociate cu degradarea anormală a, 114-115b în cartilaj, 114, 129. 129f
Zonă de cartilaj calcificat, 144, 144f
	Zonă de cartilaj hipertrofie, 144, 144f"
"37","celulă","BCFC (celulă formatoare a unei colonii de bazofile), 239f
Celulă formatoare de colonii de bazofile
Celulă formatoare de colonii de eozinofile
Celulă formatoare de colonii de granulocite
Celulă formatoare de colonii de limfocite
Celulă formatoare de colonii de monocite
Celulă formatoare de colonii de monocite şi granulocite (MGCFC), 239f
Celulă formatoare de colonii eritrocitare
Celulă formatoare de megacariocite, 239f
Celulă postsinaptică, 158f, 159
Celulă procariotă, 22. vezi şi Celule
ECFC (celulă formatoare de colonii eritrocitare), 239f
EoCFC (celulă formatoare de colonii de eozinofile), 239f
GCFC (celulă formatoare de colonii de granulocite), 239f
LCFC (celulă formatoare de colonii de limfocite). 239f
MCFC (celulă formatoare de colonii de monocite), 239f
MGCFC (celulă formatoare de colonii de monocite şi granulocite), 239f"
"38","celular","Ciclu celular, 58-63, 62f
Corp celular, neuronal (pericarion), 154f, 155, 156-157, 157f
Cortex celular, 45
Fază G0. a ciclului celular. 60. 62f
Fază G1, a ciclului celular. 58. 62f leziunile ADN şi. 60
Fază G2. a ciclului celular, 58, 62 leziunile ADN şi, 60
Fază S. a ciclului celular, 58, 62f
centrozomii în timpul. 43 efectuarea cariotipului şi. 55, 56b, 56f în ciclul celular, 58, 62f mitocondriile şi, 30
Pericarion (corp celular), 154f, 155, 156157, 157f
Răspuns imun celular, 254, 260, 261f, 262f"
"39","celulare","citoscheletul, 23, 42-50 componentele citoplasmatice ale, 22-42 boli asociate cu anomalii ale, 50b, 50t comunicarea între, 27-28. vezi şi Joncţiuni celulare diferenţierea, 22, 23t ecologia, 22 eucariote. 22. 22f fracţionarea, 9, 11f. 12f interacţiunea cu matricea extracelulară a, 115. 117f joncţiunile între, 27, 68f, 69-70, 69f, 70f, 71f nucleul, 51-65, 51f, 52f picnotic, în apoptoză, 64, 64f procariote, 22 proliferarea, 62-63b
Citogenetică, culturile celulare/tisulare şi studiile de, 9b
anomalii ale, 56b culturile celulare şi tisulare folosite pentru studiul, 9b asocierea cu lamina fibroasă a, 51, 53f duplicarea, în mitoză, 57-58, 58f efectuarea cariotipului, 55, 56b, 56f sexuali, 55 cromatinâ sexuală în identificarea, 55b
Culturi celulare primare, 9
în hematopoieză, 92f, 238-240, 239f, 239t. 240t. vezi şi tipurile celulare specifice
vezi şi tipurile celulare specifice celule stern/factori de creştere/diferenţierea în, 92f, 238240. 239f. 239t, 240t boli care afectează. 240b măduva osoasă în, 240-241, 241f, 242f
boli care afectează, 411b tipuri celulare în, 408, 408f, 408t
Joncţiuni celulare, 27, 68f, 69-70, 69f, 70f, 71f
boli care afectează. 411b tipuri celulare în, 408, 408f, 4081"
"40","celule","Acin/celule acinare
localizarea, în celule şi ţesuturi, 10
Adipocite hepatice (celule stelate/lto), 326, 326b depozitarea vitaminei A în, 333
leziunile/mutaţiile, 60 proliferarea celulară şi, 63b localizare, în celule şi ţesuturi, 10 mitocondrial, 30 replicare, în interfază, 58, 62f sinteză de (faza S), 58, 62f
cu celule falclforme, 225b pernicioasă, 294b hipocromă, 226b
APC Ve'.i Celule prezentatoare de antigen
de transfer, în mitocondrii, 30 hibridizarea în studiul, 16-18 localizare, în celule şi ţesuturi, 10 mesager (ARNm)
boli asociate cu, 232b funcţii ale, 93t, 224t, 232 granulele specifice ale, 228t, 232, 232f, 233f în insulele Langerhans (celule B), 408, 408f, 408t, 409f. 410f diabetul zaharat şi, 411b la nivelul lobului anterior hipofizar, 393, 396f, 398f numărul şi procentajul, 228t, 230 originea/diferenţierea/maturarea, 92f, 239f, 243f
Blaşti (celule precursoare), 238-240, 239f, 239t. 243f limfocite T, 257, 257f
Boala celulelor cu incluziuni (celule I), 39b, 39t, 50t
Boală cu celule I, 192
Celulă procariotă, 22. vezi şi Celule
Celule citoscheletul, 23, 42-50 componentele citoplasmatice ale, 22-42 boli asociate cu anomalii ale, 50b, 50t comunicarea între, 27-28. vezi şi Joncţiuni celulare diferenţierea, 22, 23t ecologia, 22 eucariote. 22. 22f fracţionarea, 9, 11f. 12f interacţiunea cu matricea extracelulară a, 115. 117f joncţiunile între, 27, 68f, 69-70, 69f, 70f, 71f nucleul, 51-65, 51f, 52f picnotic, în apoptoză, 64, 64f procariote, 22 proliferarea, 62-63b
Celule A. pancreatice, 408, 408f, 408t, 409f, 41 Of
Celule acidofile
în insulele Langerhans (celule ?/A), 408, 408f, 408t, 409f. 410f
Celule adipoase (adipocite). 102, 123, 124f vezi şi Ţesut adipos funcţii ale, 93t, 124, 125f, 126
Celule alveolare, 349 de tip I (celule alveolare pavimentoase), 352f, 353, 353f, 355f de tip II (celule alveolare septale), 352f, 353-357, 354f, 355f. 356f regenerarea, 357
de tip I (celule alveolare pavimentoase), 352f, 353, 353f, 355f de tip II (celule alveolare septale), 352f, 353-357, 354f, 355f. 356f regenerarea, 357
de tip I (celule alveolare pavimentoase), 352f, 353, 353f, 355f de tip II (celule alveolare septale), 352f, 353-357, 354f, 355f. 356f regenerarea, 357
Celule amacrine, retiniene, 464f, 466
Celule APUD (care captează şi decarboxilează precursori ai aminelor), 84 tumori (apudoame) derivate din, 88b
Celule argentafine, 84
Celule argirofile, 84
Celule B, pancreatice, 408, 408f, 408t, 409f, 410f
Celule bazale ale epiteliului olfactiv, 344, 344f ale epiteliului respirator, 78f, 341, 342f
Celule C (parafoliculare), tiroidiene, 411, 412f, 414f
Celule caliciforme, 78f, 83, 86f, 87f. vezi şi
Celule mucoase
Celule cardiace, 357b
Celule centroacinare, pancreatice, 321, 321f, 322f
Celule cilindrice ciliate, în epiteliul respirator, 77, 78f, 340, 341f, 342f, 343f afectarea prin fumat a, 341b
Celule Clara, 346, 348f, 352f
Celule clare, glande sudoripare, 371-372
Celule cornoase, 363
Celule corticotrope, 397t
Celule cromofile, 393, 396f
Celule cromofobe, 393, 396f, 398f
Celule cu bastonaş, 458f, 463-464, 463f.
Celule cu con. 458f, 463-464, 463f, 464f.
Celule cu margine în perie, în epiteliul respirator, 340-341, 343f
Celule cu talie joasă (celule bazale), în epiteliul respirator. 78f, 341
Celule D. 295, 298t pancreatice. 408, 408t
Celule de susţinere ale epiteliului olfactiv, 344, 344f ale maculelor saculare şi utriculare, 471,4711 din tubii seminiferi (celule Sertoli), 419, 420f. 421f retiniene, 466
ale epiteliului olfactiv, 344, 344f ale maculelor saculare şi utriculare, 471,4711 din tubii seminiferi (celule Sertoli), 419, 420f. 421f retiniene, 466
Celule de tip I ale corpului carotidian, 209, 210f alveolare (pavimentoase), 352f. 353, 353f, 354f, 355f
Celule de lip li ale corpului carotidian, 209, 21 Of alveolare (mari/septale), 352f, 353-357, 354f. 355f, 356f regenerarea, 357
Celule dendritice. 97t foliculare, 263, 265f
Celule endocrine, din tractul gastrointestinal
(celule enteroendocrine), 294-295, 297f, 298f, 298t, 300, 306f, 308f tumori cu originea în, 295b
Celule endoteliale/endoteliu, 75. 75f capilar, 212, 215f alveolar, 350. 352f, 353, 353f corneean, 457 originea, 92f vascular, 205, 206, 206f, 207f bolile asociate cu. 206b
Celule enteroendocrine, 294-295, 297f, 298f, 298t. 300 tumori cu originea in, 295b
Celule ependimare, 162, 162t
Celule epiteliale, 66-75 vezi şi tipurile specifice şi Ţesut epitelial formarea glandelor din, 79, 79f forme/caracteristici ale, 66-70 pinocitoza la nivelul, 82 reînnoirea, 81
Celule epitelioide. 95b
Celule eucariote, 22, 22f. vezi şi Celule
Celule excitabile (iritabile), 154
Celule F, pancreatice, 408, 408t
Celule fiică, 58, 60f, 62f
Celule foliculare. vezi şi Foliculi dendritice, 263- 264 ovariene (celule granuloase), 435, 436, 437f, 438. vezi şi Foliculi ovarieni
dendritice, 263- 264 ovariene (celule granuloase), 435, 436, 437f, 438. vezi şi Foliculi ovarieni
Celule G (secretoare de gastrină), 295.
Celule ganglionare (nervi ganglionari) cardiace, 219 retiniene, 458f, 463, 463f, 464f, 465, 465f
Celule germinative natura clonalâ a, 423f, 425-426 primordiale, 435
Celule gigante, multinucleate, 95b, 97t, 98f
Celule gliale, 153-154. 156f, 160-163, 162f, 162t, 163f boli care afectează. 163b degenerarea/regenerarea fibrelor nervoase şi, 179 tumorile cu originea in, 180b
Celule gonadotrope, 397t
Celule granuloase (foliculare), 435, 436, 437f, 438f
Celule granuloase luteale, 439, 443f
Celule gustative. 283, 284f
Celule interstiţiale ovariene, 440 renale, 388 testiculare (celule Leydig), 419, 419f, 420f, 427-428, 428f
ovariene, 440 renale, 388 testiculare (celule Leydig), 419, 419f, 420f, 427-428, 428f
Celule Ito, 326, 326b depozitarea vitaminei A în, 333
Celule în bandă. 243f, 247
Celule în coşuleţ, 317
Celule în inel cu pecete, 123, 124f
Celule întunecate, ale glandelor sudoripare, 371
Celule JG. vezi Celule juxtaglomerulare
Celule juxtaglomerulare, 375f. 381f. 384, 387f, 388f
Celule Kupffer, 97t, 325f, 326. 326f
Celule Langerhans. 95b, 97t, 260, 360, 366 originea, 92f, 366
Celule Leydig (interstiţiale), 419, 419f, 420f, 427-428f
Celule limfoide, 238, 239f
Celule luteale granuloase, 439, 443f tecale, 439, 443f
Celule M, 263, 265f, 300, 308f, 309, 309f, 31 Of
Celule mamotrope, 397t
Celule melanotrope, 397t
Celule Merkel, 360, 366
Celule mezangiale, 375. 380f extraglomerulare (granulare), 375, 384
Celule mieloide, 238, 239f
Celule mioepiteliale, 77, 88, 88f ale glandelor salivare, 88, 88f, 317, 318f
Celule mioide, 419, 420f, 421f, 422
Celule mucoase, 83. vezi şi Celule secretoare de mucus aparatul Golgi al, 36f, 83, 85f. 86f, 87f glande salivare, 83, 88f, 317, 318f, 319f, 320f glande sublinguale, 317, 320, 321f glande submandibulare, 317, 318f, 319f, 320, 320f
Celule mucoase ale colului glandelor fundice, 292, 293. 293f
Celule mucoase tubulare, ale glandelor salivare. 317, 318f, 321f
Celule Muller, retiniene, 464, 464f, 465, 465f, 466
Celule nervoase. vezi Celule gliale; Neuroni
Celule neuroepiteliale, 77
Celule neurogliale, 153-154, 160-163, 162f, 162t, 163f boli care afectează, 163b degenerarea şi regenerarea fibrelor nervoase şi, 179 tumori derivate din, 180b
Celule NK. vezi Celule natural killer
Celule natural killer, 224t, 257, 258 funcţii ale, 224t, 258 originea, 257, 257f
Celule olfactive, 344, 344f
Celule orizontale, retiniene, 464f, 466
Celule osoase, 134f. 135-136 ,135f, 136f, 137f. vezi şi tipurile specifice
Celule osteoprogenitoare, 137
Celule oxifile, 415, 416f
Celule oxintice (parietale), 292. 292f, 293294, 293f. 294f, 295f, 296f, 297f in gastrita atroficâ, 294b
Celule Paneth, 299-300, 306f, 307f, 308f reînnoirea, 313b, 314f
Celule paracnne, 88
Celule parafoliculare (C), tiroidiene, 411, 412f, 414f
Celule parietale (oxintice), 292, 292f. 293294, 293f. 294f, 295f, 296f, 297f
Celule păroase (receptoare), 471, 471f, 472-473, 473f, 474, 474f interne. 472, 473, 473f. 474f externe, 472, 473. 473f. 474f funcţiile vestibulare ale, 472f, 473
Celule pigmentare, ale irisului. 461
Celule piramidale, 154f
Celule precursoare (blaşti), 238-240, 239f, 239t, 243f limfocite T. 257, 257f
Celule prezentatoare de antigen, 95b, 258, 260, 261f, 262f celulele Langerhans, 366 macrofagele, 95b microgliile, 162
Celule principale gastrice (secretoare de zimogen), 292, 292f, 294, 294f
Celule progenitoare, 238-240, 239f. 239t
Celule progenitoare bipotente, 238, 239f
Celule progenitoare unipotente, 238, 239f
Celule Purkinje, 154f, 165, 1661. 219, 219f, 220f
Celule reticulare, 120, 121f, 263
Celule sanguine, 223-237 vezi şi tipurile specifice colorarea, 224 eliberarea, din măduva osoasă, 240, 241, 242f eritrocite, 92f, 223, 223f, 224-226, 224t, 225f formarea. vezi Hematopoieza leucocite, 102, 102f, 223, 223f, 224t.
Celule satelite, 174 degenerarea şi regenerarea fibrelor nervoase şi, 179 regenerarea musculară şi. 202
Celule Schwann, 154f, 161, 162t, 170, 171f, 172, 175f degenerarea şi regenerarea fibrelor nervoase şi, 179, 179b teaca de mielinâ formată de, 161, 170171, 170f, 171f tumorile derivate din, 180b
Celule secretoare de mucus, 83, 86f. 87f vezi şi Celule caliciforme; Celule mucoase aparatul Golgi al, 36f, 83, 85f, 86f, 87f
vezi şi Celule caliciforme; Celule mucoase aparatul Golgi al, 36f, 83, 85f, 86f, 87f
Celule seroase, 82-83, 83f, 84f, 85f ale glandelor salivare, 317, 318f, 319f parotide, 318, 319f sublinguale. 317, 329, 321f submandibulare, 317, 318f, 319f, 320 pancreatice (acini/celule acinare), 35f, 41f, 42f, 83f, 84f, 85f, 321f, 322, 322f, 323f, 323f
ale glandelor salivare, 317, 318f, 319f parotide, 318, 319f sublinguale. 317, 329, 321f submandibulare, 317, 318f, 319f, 320 pancreatice (acini/celule acinare), 35f, 41f, 42f, 83f, 84f, 85f, 321f, 322, 322f, 323f, 323f
Celule Sertoli, 419, 420f, 421f, 426-427, 426f
Celule somatotrope, 396f. 397t
Celule spumoase, 209b
Celule stern epidermice, 361 gastrice, 292, 293 hematopoietice, 92f, 238, 239f, 239t boli care afectează, 240b măduva hematogenâ ca sursă de, 241b neurale, 180
Celule stern pluripotente, 238, 239f, 239t. vezi şi Celule stern
vezi şi Celule stern
Celule timice doică (TNC), 266
Celule tireotrope, 397t
Celule/unităţi formatoare de colonii
CFC/CFU (celule/unităţi formatoare de colonii), 238
Cultură, de celule şi ţesuturi, 9 aplicaţii medicale ale, 9b, 10f
Dehidrogenaze, localizarea, în celule şi ţesuturi, 10
localizarea, în celule şi ţesuturi, 10, 12f, 141
Fosfataze acide, localizare, în celule şi ţesuturi, 10, 13f
Fosfataze alcaline, localizare, în celule şi
localizarea. în celule şi ţesutun. 12 reacţia PAS şi identificarea. 12 sinteza/secreţia vagmalâ de. 451
localizarea, în celule şi ţesutun, 12. 13f.
localizare, în celule şi ţesuturi, 12-13
celule secretoare de. 397t cononice umane vezi Gonadotropinâ cononicâ umană
vezi şi tipurile celulare specifice celule stern/factori de creştere/diferenţierea în, 92f, 238240. 239f. 239t, 240t boli care afectează. 240b măduva osoasă în, 240-241, 241f, 242f
acţiunile, 397t. 398f, 436 celule care secretă, 397t dezvoltarea foliculară/ovocitară şi, 436 funcţia ovarianâ şi, 398f, 442f funcţiile testiculare/spermatogeneza şi, 398f, 428 influenţa asupra ciclului menstrual a, 449t
acţiunile, 397t, 398f celule care secretă, 397t formarea corpului galben şi, 439-440, 444f funcţia testicularâ/spermatogeneza şi, 398f. 428. 429f funcţiile ovariene şi, 398f, 439-440, 444f ovulaţia şi, 439 proteinele G care mediază efectele, 30t
celule care transportă, 81-82, 82f, 83f localizare, în celule şi ţesuturi, 10, 12f
celule care transportă, 81-82, 82f, 83f localizare, în celule şi ţesuturi, 10, 12f
Ioni de calciu, localizarea, in celule şi ţesuturi, 10, 12f
Ioni de fier, localizare, în celule şi ţesuturi, 10
localizare, în celule şi ţesuturi. 10
localizare, în celule şi ţesuturi, 13 membranare, 22f, 23, 24f stocarea, 33 hepatică, 333
activate, 95b alveolare, 352f, 354f, 357 funcţii ale, 93t. 95-96b, 97t hepatice (celule Kupffer). 97t, 325f, 326, 329f intestinale, 300, 307f, 308f, 310f lizozomii din, 38, 39f originea şi maturarea, 92f, 93. 95. 249 rolul în apoptozâ, 64, 64b. 65f
boli care afectează, 249b ca sursă de celule stem, 241b distribuţia limfocitelor în, 258t hematopoieza în, 238, 240-241, 241f, 242f limfocitele cu originea în, 249, 257, 257f
ca sursă de celule stem, 241b
Mezenchim/celule mezenchimale cartilaj derivat din, 131. 131f
Mezoderm/celule mezodermice, ţesut conjunctiv derivat din, 91
Mezoteliu/celule mezoteliale. 75, 75f al tractului digestiv, 281, 282f originea, 92f pinocitoza în, 82
celule ale, 397, 400f dezvoltarea, 392, 393f hormonii secretaţi de, 397, 398f
Oligozaharide, localizare, în celule şi ţesuturi, 10-13
boli care afectează, 317, 321 celule acinare/acini ai, 35f, 41f. 42f, 83f.
celule secretorii ale, 393, 397t controlul, 393-394, 394f, 398f, 399f, 399t
localizare, în celule şi ţesuturi, 10 pentru marcarea anticorpilor, 10, 15
Polizaharide, localizare, în celule şi ţesuturi, 10-13, 13f
localizarea, in celule şi ţesuturi, 10 membranare, 23-25, 24f. 25f, 26f Vezi
localizarea, în celule şi ţesuturi, 12-13
celule cu bastonaş şi con ale, 458f, 463^65. 463f, 464f, 465f, 466f, 467f dezlipirea de, 463b, 466b histofiziologia, 466-467
coagularea bolile endoteliului vascular şi, 206b plachetele şi, 236-237 tulburări ale, în hemofilie, 237b componentele, 223. vezi şi Celule sanguine distribuţia limfocitelor în, 228t, 258t funcţia de transport a, 223, 224f plasma, 223
specifice şi Imunitate afecţiuni ale, 260-261 b celule ale, 257-260 celule prezentatoare de antigen, 95b, 258, 260 limfocite, 257-258, 257f, 258t
specifice şi Imunitate afecţiuni ale, 260-261 b celule ale, 257-260 celule prezentatoare de antigen, 95b, 258, 260 limfocite, 257-258, 257f, 258t
celule şi ţesuturi, 10
TNC (celule timice doică), 266
Transformare, în culturile de celule şi ţesuturi, 9
Transplant de celule stern, 241b
Celule adipoase multilocular (brun), 123, 125-127, 126f, 127f stocarea/mobilizarea lipidelor şi, 123124,  125f tumori ale, 127b unilocular (obişnuit/galben), 123, 123125,  124f. 125f, 126f
capacitatea de regenerare a, 91-93b celule ale, 91-102, 92f, 93t compartiment pentru neutrofile, 248 dens, 118f, 119, 120f, 121f din scheletul fibros cardiac, 217 fibrocartilajul asociat cu, 132 neregulat, 118f, 119, 119f regulat, 118f, 119, 120f, 121f deplasarea fluidului prin, 116-117, 118f din derm, 360, 361f, 366-367, 366f fibrele, 91, 102-113 lax, 118-119, 118f, 119f lichidul tisular din, 116 substanţa fundamentală a. 91, 112f. UŞII?, 113f
sau organele specifice şi Celule epiteliale controlul activităţii glandulare şi, 81 de acoperire, 73t, 74f, 75-77 descrierea, 80-89 formarea glandelor din, 79, 79f glandular, 75, 77-80, 79f, 80f, 81f inervaţia, 81 metaplazia, 81b polaritatea, 80-81, 84f reînnoirea, 81 tipuri de, 73t, 74f, 75-80"
"41","celulară","leziunile/mutaţiile, 60 proliferarea celulară şi, 63b localizare, în celule şi ţesuturi, 10 mitocondrial, 30 replicare, în interfază, 58, 62f sinteză de (faza S), 58, 62f
Apoptozâ (moarte celulară programată), 64
Cefalină (fosfatidiletanolaminâ). în membrana celulară. 23
epidermice, 361 gastrice, 292, 293 hematopoietice, 92f, 238, 239f, 239t boli care afectează, 240b măduva hematogenâ ca sursă de, 241b neurale, 180 şi regenerarea celulară la nivelul tractului gastrointestinal, 313, 314f
a firului de pâr, 369, 369f a ganglionilor limfatici, 270f, 271, 271f celulară, 45 ovarianâ, 435, 436f, 438f renală, 373, 374f, 375f, 381f, 382f suprarenalianâ, 400. 400-405, 401f, 402t, 403f, 404f timicâ, 266, 267f, 268f, 269f
Diferenţiere, celulară, 22, 23t
Diviziune celulară. vezi Mitoză
Fracţionare celulară, 9, 11f, 12f
adaptativă, 260 anticorpii şi, 254-255, 255f. 256f. 256t antigenele şi, 254 celulară, 254, 260, 261f, 262f complementul şi. 255, 256f complexul major de histocompatibilitate
Linie celulară, 9
Masă celulară internă, 450
Membrană celulară. vezi Membrană plasmatică
Mitoză (diviziune celulară), 57-58, 58f, 59f, 60f centrozomii în timpul. 43 efectuarea cariotipului şi. 55, 56b, 56f
Moarte celulară, programată (apoptoză), 64, 64b, 64f, 65f involuţia corpului galben prin, 440 rolul limfocitelor T citotoxice/CD8+ în, 258
izolarea, prin fracţionare celulară, 9, 11f, 12f"
"42","central","Canal central, 165
central
afectarea limfocitelor T helper în, 258b infecţiile sistemului nervos central/celulelor gliale şi, 163b
autonom, 174-179, 178f central, 153, 153f, 163-167 parasimpatic, 178f. 179 periferic, 153, 153f, 170-174 plasticitatea, 180 simpatic, 178-179, 178f tumori ale, 180b"
"43","cerumen","Cerumen, 469"
"44","cromatină","Cromozomi. vezi şi Cromatină anomalii ale, 56b culturile celulare şi tisulare folosite pentru studiul, 9b asocierea cu lamina fibroasă a, 51, 53f duplicarea, în mitoză, 57-58, 58f efectuarea cariotipului, 55, 56b, 56f sexuali, 55 cromatinâ sexuală în identificarea, 55b"
"45","cromozom","Cromozom X, 55, 56f transmiterea ereditară a hemofiliei şi, 237b inactiv, în neutrofile, 227f, 228
Cromozom Y, 55. 56f"
"46","ciliat","ciliat din sistemul respirator, 77, 78f, 340, 341f, 342f, 343f efectele fumatului asupra. 341b pseudostratificat, 74f. 77, 78f stratificat, 73t, 77 unistratificat, 73t, 74f, 75, 76
cilindric ciliat. 74f, 77, 78f"
"47","ciliat","ciliat din sistemul respirator, 77, 78f, 340, 341f, 342f, 343f efectele fumatului asupra. 341b pseudostratificat, 74f. 77, 78f stratificat, 73t, 77 unistratificat, 73t, 74f, 75, 76
cilindric ciliat. 74f, 77, 78f"
"48","clară","	Zonă clară, 136, 137f"
"49","clatrină","Clatrină, şi endocitoza mediată de receptori, 26, 27f, 28f"
"50","barieră","Barieră hemato-encefalică, 168
Barieră hemato-testicularâ. 426, 426f, 427, 427b
Barieră timus-sânge, 266"
"51","de colagen","Fascicule de colagen. 104. 105f. 108f, 109f din fibrocartilaj. 132 din ţesutul conjunctiv dens, 119, 120f
Fascicule primare, de colagen, ale tendoanelor. 119
Fascicule secundare, de colagen, ale tendoanelor, 119
Fibre de colagen, 91. 102-14, 103t, I04f.
Fibrile de colagen, 104, 104f, 105f anormale, elasticitatea tegumentului şi, 367b din cartilaj, 128f, 129 sinteza de, 104, 105, 106f
Mezenter, fascicule de colagen din, 107, 109f
Sistem al fibrelor de colagen, 102. vezi şi
Fibre de colagen"
"52","colagen","Colagen, 102-110, 103t asociat fibrilelor, 103, 103r care formează fibrile, 103, 103t, 104f care formează reţele, 103t, 104 de ancorare, 103t, 104, 104f, 105f din cartilaj, 128, 128f, 129, 129f din pericondru, 129-130 din lamina bazalâ/membrana bazală, 67, 67f, 68f din matricea osoasă, 138 din membrana bazală glomerulară, 373374, 379f din tegument, 367 senescenţa şi, 367b din vasele sanguine/adventice, 206, 207 sinteza de, 104-107, 106f boli asociate cu. 107b, 107t tipuri de, 103, 103t
Fascicule de colagen. 104. 105f. 108f, 109f din fibrocartilaj. 132 din ţesutul conjunctiv dens, 119, 120f
Fascicule primare, de colagen, ale tendoanelor. 119
Fascicule secundare, de colagen, ale tendoanelor, 119
Fibre de colagen, 91. 102-14, 103t, I04f.
din fibrocartilaj, 132, 133f din ţesutul conjunctiv dens, 119, 120f din ţesutul osos, 138, 138f. 139f. 140, 140f, 141f din vasele sanguine, 206 formate din colagen de tip I, 107, 108f, 109f formate din colagen de tip III, 108 Vezi
din fibrocartilaj, 132, 133f din ţesutul conjunctiv dens, 119, 120f din ţesutul osos, 138, 138f. 139f. 140, 140f, 141f din vasele sanguine, 206 formate din colagen de tip I, 107, 108f, 109f formate din colagen de tip III, 108 Vezi
Fibrile de colagen, 104, 104f, 105f anormale, elasticitatea tegumentului şi, 367b din cartilaj, 128f, 129 sinteza de, 104, 105, 106f
Hidroxilizinâ, în colagen. 104, 105
Hidroxiprolinâ, în colagen, 104
Mezenter, fascicule de colagen din, 107, 109f
Sistem al fibrelor de colagen, 102. vezi şi
Fibre de colagen"
"53","colaterale","Ramuri colaterale, axonale, 154f, 158"
"54","coloid","Coloid, tiroidian, 411, 412f
Presiune coloid-osmoticâ, deplasarea fluidului tisular şi, 116-117, 118f"
"55","colonii","BCFC (celulă formatoare a unei colonii de bazofile), 239f
Celulă formatoare de colonii de bazofile
Celulă formatoare de colonii de eozinofile
Celulă formatoare de colonii de granulocite
Celulă formatoare de colonii de limfocite
Celulă formatoare de colonii de monocite
Celulă formatoare de colonii de monocite şi granulocite (MGCFC), 239f
Celulă formatoare de colonii eritrocitare
Celule/unităţi formatoare de colonii
colonii), 238
ECFC (celulă formatoare de colonii eritrocitare), 239f
EoCFC (celulă formatoare de colonii de eozinofile), 239f
GCFC (celulă formatoare de colonii de granulocite), 239f
LCFC (celulă formatoare de colonii de limfocite). 239f
MCFC (celulă formatoare de colonii de monocite), 239f
MGCFC (celulă formatoare de colonii de monocite şi granulocite), 239f"
"56","complex","Complex (aparat) Golgi, 35-36, 36f, 37f afecţiuni asociate cu anomalii ale, 50t
Complex al porului nuclear, 51-54, 53f, 54f
Complex calciu-calmodulină, 199
Complex major de histocompatibilitate
MHC vezi Complex major de histocompatibilitate
de transport (complex Golgi), 36, 36f, 37f matriceale, 284 optice, 463 secretorii, 42, 47. vezi şi Granule de secreţie seminale, 418f, 429, 431f sinaptice, 158f, 159, 160f tapetate, 26, 27f, 28f"
"57","condensare","Golgi (de condensare), 36"
