term_id,oTerms,nTerms,base,oWords,matchWords,c..celulă....nucleu....citoplasmă....citosol....citosol....citosol...,c..............................................multinucleată...,c......................................................primordială...,c.............................................................,c..............................................................1,V12,V13,V14,V15,V16,V17,V18
10106,junctiones intercellulares,joncțiuni intercelulare,intercellulares,intercellulares,intercelulare,intercelulare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10112,junctio occludens,joncțiune strânsă,conjuncție,junctio,joncțiune,joncțiune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10112,junctio occludens,joncțiune strânsă,închide,occludens,ocludens,ocluzie,ocluzivă,ocludens,ocludentă,strânsă,NA,NA,NA,NA,NA,NA,NA
10112,zonula occludens,joncțiune strânsă,brâu mic,zonula,zonula,zonula,joncțiune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10112,zonula occludens,joncțiune strânsă,închide,occludens,ocludens,ocluzie,ocluzivă,ocludens,ocludentă,strânsă,NA,NA,NA,NA,NA,NA,NA
10120,desmosoma,desmozom,desmosoma,desmosoma,desmozom,desmozom,desmozomală,desmozomică,NA,NA,NA,NA,NA,NA,NA,NA,NA
10120,macula adhaerens,desmozom,punct,macula,macula,macula,desmozomală,joncțiune,maculă,saculei,utriculei,NA,NA,NA,NA,NA,NA
10120,macula adhaerens,desmozom,aderare,adhaerens,adherens,adherens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10129,nexus,joncțiune gap,legătură,nexus,nexus,joncțiune,nexus,communicans,NA,NA,NA,NA,NA,NA,NA,NA,NA
10129,macula communicans,joncțiune gap,punct,macula,macula,macula,desmozomală,joncțiune,maculă,saculei,utriculei,NA,NA,NA,NA,NA,NA
10129,macula communicans,joncțiune gap,comunicarea,communicans,comunicantă,comunicare,communicans,comunicantă,NA,NA,NA,NA,NA,NA,NA,NA,NA
10129,synapsis non vesicularis,joncțiune gap,sinapselor,synapsis,sinapsă,joncțiune,comunicare,gap,nexus,communicans,comunicantă,tip,macula,de,sinapsă,NA,NA
10129,synapsis non vesicularis,joncțiune gap,nu,non,,nervoasă,nemielinizată,amielinică,joncțiune,comunicare,nexus,macula,communicans,comunicantă,endoplasmic,neted,pavimentos
10129,synapsis non vesicularis,joncțiune gap,veziculoase,vesicularis,,comunicare,macula,communicans,nexus,comunicantă,joncțiune,de,gap,tip,NA,NA,NA
10129,synapsis electrica,joncțiune gap,sinapselor,synapsis,sinapsă,joncțiune,comunicare,gap,nexus,communicans,comunicantă,tip,macula,de,sinapsă,NA,NA
10129,synapsis electrica,joncțiune gap,electric,electrica,,comunicare,communicans,comunicantă,joncțiune,tip,macula,de,gap,nexus,NA,NA,NA
10134,hemidesmosoma,hemidesmozom,hemidesmosoma,hemidesmosoma,hemidesmozom,hemidesmozom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10142,nucleus,nucleu,nucleu,nucleus,nucleu,nucleu,pulpos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10157,nucleus pyknoticus,nucleu picnotic,nucleu,nucleus,nucleu,nucleu,pulpos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10157,nucleus pyknoticus,nucleu picnotic,pyknoticus,pyknoticus,picnotic,picnotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10160,nucleus sphericus,nucleu sferic,nucleu,nucleus,nucleu,nucleu,pulpos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10160,nucleus sphericus,nucleu sferic,sferoidal,sphericus,sferic,sferic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10186,chromatinum,cromatină,chromatinum,chromatinum,cromatină,cromatină,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10187,heterochromatinum,heterocromatină,heterochromatinum,heterochromatinum,heterocromatină,heterocromatină,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10205,nucleolus,nucleol,nucleoli,nucleolus,nucleol,nucleol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10217,cytocentrum,centrozom,cytocentrum,cytocentrum,centrozom,centrozom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10217,centrosoma,centrozom,centrosoma,centrosoma,centrozom,centrozom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10218,centriolum,centriol,centriolum,centriolum,centriol,centriol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10223,mitochondrion,mitocondrie,mitochondrion,mitochondrion,mitocondrie,mitocondrie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10228,myofilamentum tenue,filament de actină,myofilamentum,myofilamentum,miofilament,filament,miofilament,microfilament,NA,NA,NA,NA,NA,NA,NA,NA,NA
10228,myofilamentum tenue,filament de actină,subțire,tenue,actină,filament,actină,subțire,actinic,miofilament,microfilament,NA,NA,NA,NA,NA,NA
10228,filamentum actini,filament de actină,filament,filamentum,filament,filament,microfilament,miofilament,NA,NA,NA,NA,NA,NA,NA,NA,NA
10228,filamentum actini,filament de actină,actina,actini,actinic,actină,actinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10244,reticulum endoplasmicum,reticul endoplasmic,plasă,reticulum,reticul,reticul,endoplasmic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10244,reticulum endoplasmicum,reticul endoplasmic,endoplasmatic,endoplasmicum,endoplasmic,endoplasmic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10249,neurofilamentum,neurofilament,neurofilamentum,neurofilamentum,neurofilament,neurofilament,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024900,cisterna,cisternă,bine,cisterna,cisternă,cisternă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10254,reticulum endoplasmicum granulosum,reticul endoplasmic rugos,plasă,reticulum,reticul,reticul,endoplasmic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10254,reticulum endoplasmicum granulosum,reticul endoplasmic rugos,endoplasmatic,endoplasmicum,endoplasmic,endoplasmic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10254,reticulum endoplasmicum granulosum,reticul endoplasmic rugos,granulozei,granulosum,granular,endoplasmic,reticul,neted,rugos,granular,granulos,NA,NA,NA,NA,NA,NA
10256,reticulum endoplasmicum non granulosum,reticul endoplasmic neted,plasă,reticulum,reticul,reticul,endoplasmic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10256,reticulum endoplasmicum non granulosum,reticul endoplasmic neted,endoplasmatic,endoplasmicum,endoplasmic,endoplasmic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10256,reticulum endoplasmicum non granulosum,reticul endoplasmic neted,nu,non,non,reticul,endoplasmic,neted,plasă,endoplasmatic,nu,granulozei,neted,endoplasmatic,stomac,reticul,endoplasmic
10256,reticulum endoplasmicum non granulosum,reticul endoplasmic neted,granulozei,granulosum,granular,reticul,endoplasmic,neted,plasă,endoplasmatic,nu,granulozei,neted,endoplasmatic,stomac,reticul,endoplasmic
10260,ribosoma,ribozom,ribosoma,ribosoma,ribozom,ribozom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10263,polyribosoma,poliribozom,polyribosoma,polyribosoma,poliribozom,poliribozom,polizom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10274,vesicula golgiensis,veziculă Golgi,vezicii biliare,vesicula,veziculă,veziculă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10274,vesicula golgiensis,veziculă Golgi,golgiensis,golgiensis,golgiană,golgiană,Golgi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10277,lysosoma,lizozom,lysosoma,lysosoma,lizozom,lizozom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10293,telolysosoma,corp rezidual,telolysosoma,telolysosoma,telolizozom,rezidual,corp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10293,corpusculum residuale,corp rezidual,corp,corpusculum,corpuscul,corpuscul,corp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10293,corpusculum residuale,corp rezidual,residuale,residuale,rezidual,rezidual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10296,peroxysoma,peroxizom,peroxysoma,peroxysoma,peroxizom,peroxizom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10298,matrix peroxysomatica,matrice a peroxizomului,matrice,matrix,matrice,matrice,extracelulară,citoplasmatică,NA,NA,NA,NA,NA,NA,NA,NA,NA
10298,matrix peroxysomatica,matrice a peroxizomului,peroxysomatica,peroxysomatica,peroxizomatică,peroxizomului,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10299,exocytosis,exocitoză,exocitoza,exocytosis,exocitoză,exocitoză,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10302,vesicula secretoria,granulă secretorie,vezicii biliare,vesicula,veziculă,veziculă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10302,vesicula secretoria,granulă secretorie,secretorie,secretoria,secretorie,secretorie,secreție,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10302,granulum secretorium,granulă secretorie,granulă,granulum,granulă,incluziune,granulă,incluzie,NA,NA,NA,NA,NA,NA,NA,NA,NA
10302,granulum secretorium,granulă secretorie,secretorie,secretorium,secretorie,secretorie,secreție,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10302,vacuola secretoria,granulă secretorie,vacuole,vacuola,vacuolă,veziculă,granulă,vacuolă,NA,NA,NA,NA,NA,NA,NA,NA,NA
10302,vacuola secretoria,granulă secretorie,secretorie,secretoria,secretorie,secretorie,secreție,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10309,endocytosis,endocitoză,endocytosis,endocytosis,endocitoză,endocitoză,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10310,pinocytosis,pinocitoză,pinocitoza,pinocytosis,pinocitoză,pinocitoză,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10314,phagocytosis,fagocitoză,fagocitoză,phagocytosis,fagocitoză,fagocitoză,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10317,vesicula pinocytotica,veziculă de pinocitoză,vezicii biliare,vesicula,veziculă,veziculă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10317,vesicula pinocytotica,veziculă de pinocitoză,pinocytotica,pinocytotica,pinocitotică,pinocitoză,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10317,pinosoma,veziculă de pinocitoză,pinosoma,pinosoma,pinozom,pinocitoză,pinozom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10331,phagosoma,vacuolă de fagocitoză,phagosoma,phagosoma,fagozom,fagozom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10335,corpusculum residuale,corp rezidual,corp,corpusculum,corpuscul,corpuscul,corp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10335,corpusculum residuale,corp rezidual,residuale,residuale,rezidual,rezidual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10344,granulum glycogeni,incluziune de glicogen,granulă,granulum,granulă,incluziune,granulă,incluzie,NA,NA,NA,NA,NA,NA,NA,NA,NA
10344,granulum glycogeni,incluziune de glicogen,glicogen,glycogeni,glicogenă,glicogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10348,gutta adipis,incluziune lipidică,picătură,gutta,incluziune,incluziune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10348,gutta adipis,incluziune lipidică,grăsime,adipis,lipidică,lipidică,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10353,cytoskeleton,citoschelet,citoscheletului,cytoskeleton,citoschelet,citoschelet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10354,microtubulus,microtubul,microtubulus,microtubulus,microtubul,microtubul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10355,tubulinum,tubulină,tubulinei,tubulinum,tubulină,tubulină,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10361,dyneinum,dineină,dyneinum,dyneinum,dineină,dineină,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10363,cilium,cil,consiliu,cilium,cil,cil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10364,flagellum,flagel,flagel,flagellum,flagel,flagel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10365,microfilamentum,filament de actină,microfilamentum,microfilamentum,microfilament,filament,microfilament,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10365,filamentum actini,filament de actină,filament,filamentum,filament,filament,microfilament,miofilament,NA,NA,NA,NA,NA,NA,NA,NA,NA
10365,filamentum actini,filament de actină,actina,actini,actinic,actină,actinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10370,myosinum,miozină,myosin,myosinum,miozină,miozină,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10384,tonofilamentum,tonofilament,tonofilamentum,tonofilamentum,tonofilament,tonofilament,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10385,tonofibrilla,tonofibrilă,tonofibrilla,tonofibrilla,tonofibrilă,tonofibrilă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10396,interphasis,interfază,interphasis,interphasis,interfază,interfază,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10406,centriolum,centriol,centriolum,centriolum,centriol,centriol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10422,mitosis,mitoză,capabile să,mitosis,mitoză,mitoză,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10422,phasis m,mitoză,fasis,phasis,fază,mitoză,diviziune,celulară,fază,M,NA,NA,NA,NA,NA,NA,NA
10422,phasis m,mitoză,m,m,m,mitoză,diviziune,celulară,fază,M,NA,NA,NA,NA,NA,NA,NA
10428,prophasis,profază,prophasis,prophasis,profază,profază,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10432,metaphasis,metafază,metaphasis,metaphasis,metafază,metafază,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10442,chromosoma,cromozom,cromozom,chromosoma,cromozom,cromozom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10529,parenchyma,parenchim,parenchim,parenchyma,parenchim,parenchim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10530,stroma,stromă,stroma,stroma,stromă,stromă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10531,capsula,capsulă,capsula,capsula,capsulă,capsulă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10532,membrana basalis,membrană bazală,filme,membrana,membrană,membrană,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10532,membrana basalis,membrană bazală,bazale,basalis,bazală,membrană,bazală,bazal,Bruch,NA,NA,NA,NA,NA,NA,NA,NA
10540,hyperplasia,hiperplazie,hiperplazie,hyperplasia,hiperplazie,hiperplazie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10541,hypertrophia,hipertrofie,hipertrofiat,hypertrophia,hipertrofie,hipertrofie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10545,metaplasia,metaplazie,metaplazie,metaplasia,metaplazie,metaplazie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10570,nexus,joncțiune gap,legătură,nexus,nexus,joncțiune,nexus,communicans,NA,NA,NA,NA,NA,NA,NA,NA,NA
10570,macula communicans,joncțiune gap,punct,macula,macula,macula,desmozomală,joncțiune,maculă,saculei,utriculei,NA,NA,NA,NA,NA,NA
10570,macula communicans,joncțiune gap,comunicarea,communicans,comunicantă,comunicare,communicans,comunicantă,NA,NA,NA,NA,NA,NA,NA,NA,NA
10570,synapsis non vesicularis,joncțiune gap,sinapselor,synapsis,sinapsă,joncțiune,comunicare,gap,nexus,communicans,comunicantă,tip,macula,de,sinapsă,NA,NA
10570,synapsis non vesicularis,joncțiune gap,nu,non,,nervoasă,nemielinizată,amielinică,joncțiune,comunicare,nexus,macula,communicans,comunicantă,endoplasmic,neted,pavimentos
10570,synapsis non vesicularis,joncțiune gap,veziculoase,vesicularis,,comunicare,macula,communicans,nexus,comunicantă,joncțiune,de,gap,tip,NA,NA,NA
10570,synapsis electrica,joncțiune gap,sinapselor,synapsis,sinapsă,joncțiune,comunicare,gap,nexus,communicans,comunicantă,tip,macula,de,sinapsă,NA,NA
10570,synapsis electrica,joncțiune gap,electric,electrica,,comunicare,communicans,comunicantă,joncțiune,tip,macula,de,gap,nexus,NA,NA,NA
10571,myofilamentum tenue,filament de actină,myofilamentum,myofilamentum,miofilament,filament,miofilament,microfilament,NA,NA,NA,NA,NA,NA,NA,NA,NA
10571,myofilamentum tenue,filament de actină,subțire,tenue,subțire,filament,actină,subțire,actinic,miofilament,microfilament,NA,NA,NA,NA,NA,NA
10571,filamentum actini,filament de actină,filament,filamentum,filament,filament,microfilament,miofilament,NA,NA,NA,NA,NA,NA,NA,NA,NA
10571,filamentum actini,filament de actină,actina,actini,actinic,actină,actinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10572,textus epithelialis,țesut epitelial,text,textus,țesut,țesut,neted,epitelial,NA,NA,NA,NA,NA,NA,NA,NA,NA
10572,textus epithelialis,țesut epitelial,epiteliale,epithelialis,epitelial,epitelială,epitelial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10573,epithelium,epiteliu,epiteliu,epithelium,epiteliu,epiteliu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10576,epitheliocytus,celulă epitelială,epitheliocytus,epitheliocytus,epiteliocit,epitelială,celulă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10576,cellula epithelialis,celulă epitelială,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10576,cellula epithelialis,celulă epitelială,epiteliale,epithelialis,epitelială,epitelială,epitelial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10578,polus apicalis,pol apical,pol,polus,pol,pol,apical,bazal,NA,NA,NA,NA,NA,NA,NA,NA,NA
10578,polus apicalis,pol apical,apical,apicalis,apical,apical,apicală,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10578,apex cellularis,pol apical,vârf,apex,apex,apical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10578,apex cellularis,pol apical,celulă,cellularis,celular,celulară,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10579,polus basalis,pol bazal,pol,polus,pol,pol,apical,bazal,NA,NA,NA,NA,NA,NA,NA,NA,NA
10579,polus basalis,pol bazal,bazale,basalis,bazal,membrană,bazală,bazal,Bruch,NA,NA,NA,NA,NA,NA,NA,NA
10579,basis cellularis,pol bazal,de bază,basis,bază,bazal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10579,basis cellularis,pol bazal,celulă,cellularis,celulară,celulară,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10581,facies apicalis,suprafață apicală,față,facies,suprafață,suprafață,apicală,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10581,facies apicalis,suprafață apicală,apical,apicalis,apicală,apical,apicală,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10597,serocytus,celulă seroasă,serocytus,serocytus,serocit,seroasă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10600,endocrinocytus,celulă endocrină,endocrinocytus,endocrinocytus,endocrinocit,pinealocit,endocrină,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10605,epithelium superficiale,epiteliu de acoperire,epiteliu,epithelium,epiteliu,epiteliu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10605,epithelium superficiale,epiteliu de acoperire,suprafață,superficiale,acoperire,acoperire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10606,epithelium simplex squamosum,epiteliu simplu scuamos,epiteliu,epithelium,epiteliu,epiteliu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10606,epithelium simplex squamosum,epiteliu simplu scuamos,simplu,simplex,simplu,simplu,pavimentos,simplă,NA,NA,NA,NA,NA,NA,NA,NA,NA
10606,epithelium simplex squamosum,epiteliu simplu scuamos,solzos,squamosum,scuamos,scuamos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
