"","term_id","oTerms","referenceTerms","gtLaRoWords","referenceOk","oWords","matchWords","c..celulă....nucleu....citoplasmă....citosol....citosol....citosol...","c..............matrice....matrice....matrice............plasmatică...","c..............citoplasmatică....citoplasmatică....citoplasmatică...","c..................................membrană....membrană....membrană...","c..................................celulară....celulară....celulară...","c.............................................................","c..............................................................1","c..............................................................2","c..............................................................3","c..............................................................4","c..............................................................5","c..............................................................6"
"41",10085,"cilium","cil","consiliu","cil","cilium","cil","cil","","","","","","","","","","",""
"42",10086,"kinocilium","kinocil","kinocilium","kinocil","kinocilium","chinocil","chinocil","","","","","","","","","","",""
"43",10090,"microtubulus centralis","( microtubul central )","microtubulus","microtubul","microtubulus","microtubul","microtubul","central","","","","","","","","","",""
"44",10090,"microtubulus centralis","( microtubul central )","central","central","centralis","central","microtubul","central","","","","","","","","","",""
"45",10096,"dyneinum","dineină","dyneinum","dineină","dyneinum","dineină","dineină","","","","","","","","","","",""
"46",10104,"flagellum","flagel","flagel","flagel","flagellum","flagel","flagel","","","","","","","","","","",""
"47",10106,"junctiones intercellulares","joncțiuni intercelulare","joncțiune","joncțiuni","junctiones","joncțiuni","joncțiuni","intercelulare","","","","","","","","","",""
"48",10106,"junctiones intercellulares","joncțiuni intercelulare","intercellulares","intercelulare","intercellulares","intercelulare","joncțiuni","intercelulare","","","","","","","","","",""
"49",10112,"junctio occludens","joncțiune strânsă","conjuncție","joncțiune","junctio","joncțiune","joncțiune","de","ocluzie","joncțiune","strânsă","joncțiune","ocluzivă","","","","",""
"50",10112,"junctio occludens","joncțiune strânsă","închide","strânsă","occludens","strânsă","joncțiune","de","ocluzie","joncțiune","strânsă","joncțiune","ocluzivă","","","","",""
"51",10112,"zonula occludens","joncțiune strânsă","brâu mic","","zonula","de","joncțiune","de","ocluzie","joncțiune","strânsă","joncțiune","ocluzivă","","","","",""
"52",10112,"zonula occludens","joncțiune strânsă","închide","strânsă","occludens","strânsă","joncțiune","de","ocluzie","joncțiune","strânsă","joncțiune","ocluzivă","","","","",""
"53",10120,"desmosoma","desmozom","desmosoma","desmozom","desmosoma","desmozom","desmozom","macula","adherens","joncțiune","desmozomică","","","","","","",""
"54",10120,"macula adhaerens","desmozom","punct","","macula","macula","desmozom","macula","adherens","joncțiune","desmozomică","","","","","","",""
"55",10120,"macula adhaerens","desmozom","aderare","","adhaerens","adherens","desmozom","macula","adherens","joncțiune","desmozomică","","","","","","",""
"56",10129,"nexus","joncțiune gap","legătură","joncțiune gap","nexus","joncțiune","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"57",10129,"macula communicans","joncțiune gap","punct","joncțiune","macula","joncțiune","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"58",10129,"macula communicans","joncțiune gap","comunicarea","","communicans","comunicare","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"59",10129,"synapsis non vesicularis","joncțiune gap","sinapselor","","synapsis","de","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"60",10129,"synapsis non vesicularis","joncțiune gap","nu","joncțiune","non","joncțiune","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"61",10129,"synapsis non vesicularis","joncțiune gap","veziculoase","","vesicularis","de","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"62",10129,"synapsis electrica","joncțiune gap","sinapselor","","synapsis","de","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"63",10129,"synapsis electrica","joncțiune gap","electric","","electrica","de","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"64",10134,"hemidesmosoma","hemidesmozom","hemidesmosoma","hemidesmozom","hemidesmosoma","hemidesmozom","hemidesmozom","","","","","","","","","","",""
"65",10142,"nucleus","nucleu","nucleu","nucleu","nucleus","nucleu","nucleu","","","","","","","","","","",""
"66",10157,"nucleus pyknoticus","nucleu picnotic","nucleu","nucleu","nucleus","nucleu","nucleu","picnotic","","","","","","","","","",""
"67",10157,"nucleus pyknoticus","nucleu picnotic","pyknoticus","picnotic","pyknoticus","picnotic","nucleu","picnotic","","","","","","","","","",""
"68",10160,"nucleus sphericus","nucleu sferic","nucleu","nucleu","nucleus","nucleu","nucleu","sferic","","","","","","","","","",""
"69",10160,"nucleus sphericus","nucleu sferic","sferoidal","sferic","sphericus","sferic","nucleu","sferic","","","","","","","","","",""
"70",10186,"chromatinum","cromatină","chromatinum","cromatină","chromatinum","cromatină","cromatină","","","","","","","","","","",""
"71",10187,"heterochromatinum","heterocromatină","heterochromatinum","heterocromatină","heterochromatinum","heterocromatină","heterocromatină","","","","","","","","","","",""
"72",10205,"nucleolus","nucleol","nucleoli","nucleol","nucleolus","nucleol","nucleol","","","","","","","","","","",""
"73",10217,"cytocentrum","centrozom","cytocentrum","","cytocentrum","centrozom","centrozom","","","","","","","","","","",""
"74",10217,"centrosoma","centrozom","centrosoma","centrozom","centrosoma","centrozom","centrozom","","","","","","","","","","",""
"75",10218,"centriolum","centriol","centriolum","centriol","centriolum","centriol","centriol","","","","","","","","","","",""
"76",10223,"mitochondrion","mitocondrie","mitochondrion","mitocondrie","mitochondrion","mitocondrie","mitocondrie","","","","","","","","","","",""
"77",10228,"myofilamentum tenue","filament de actină","myofilamentum","","myofilamentum","filament","filament","de","actină","filament","subțire","","","","","","",""
"78",10228,"myofilamentum tenue","filament de actină","subțire","","tenue","filament","filament","de","actină","filament","subțire","","","","","","",""
"79",10228,"filamentum actini","filament de actină","filament","filament","filamentum","filament","filament","de","actină","filament","subțire","","","","","","",""
"80",10228,"filamentum actini","filament de actină","actina","de actină","actini","actină","filament","de","actină","filament","subțire","","","","","","",""
"81",10244,"reticulum endoplasmicum","reticul endoplasmic","plasă","reticul","reticulum","reticul","reticul","endoplasmic","","","","","","","","","",""
"82",10244,"reticulum endoplasmicum","reticul endoplasmic","endoplasmatic","endoplasmic","endoplasmicum","endoplasmic","reticul","endoplasmic","","","","","","","","","",""
"83",10249,"neurofilamentum","neurofilament","neurofilamentum","neurofilament","neurofilamentum","neurofilament","neurofilament","","","","","","","","","","",""
"84",1024900,"cisterna","cisternă","bine","cisternă","cisterna","cisternă","cisternă","","","","","","","","","","",""
"85",10254,"reticulum endoplasmicum granulosum","reticul endoplasmic rugos","plasă","reticul","reticulum","reticul","reticul","endoplasmic","rugos","","","","","","","","",""
"86",10254,"reticulum endoplasmicum granulosum","reticul endoplasmic rugos","endoplasmatic","endoplasmic","endoplasmicum","endoplasmic","reticul","endoplasmic","rugos","","","","","","","","",""
"87",10254,"reticulum endoplasmicum granulosum","reticul endoplasmic rugos","granulozei","rugos","granulosum","rugos","reticul","endoplasmic","rugos","","","","","","","","",""
"88",10256,"reticulum endoplasmicum non granulosum","reticul endoplasmic neted","plasă","reticul","reticulum","reticul","reticul","endoplasmic","neted","","","","","","","","",""
"89",10256,"reticulum endoplasmicum non granulosum","reticul endoplasmic neted","endoplasmatic","endoplasmic","endoplasmicum","endoplasmic","reticul","endoplasmic","neted","","","","","","","","",""
"90",10256,"reticulum endoplasmicum non granulosum","reticul endoplasmic neted","nu","neted","non","neted","reticul","endoplasmic","neted","","","","","","","","",""
"91",10256,"reticulum endoplasmicum non granulosum","reticul endoplasmic neted","granulozei","","granulosum","neted","reticul","endoplasmic","neted","","","","","","","","",""
"92",10260,"ribosoma","ribozom","ribosoma","ribozom","ribosoma","ribozom","ribozom","","","","","","","","","","",""
"93",10263,"polyribosoma","poliribozom","polyribosoma","poliribozom","polyribosoma","polizom","poliribozom","polizom","","","","","","","","","",""
"94",10274,"vesicula golgiensis","veziculă Golgi","vezicii biliare","veziculă","vesicula","veziculă","veziculă","de","transport","","","","","","","","",""
"95",10274,"vesicula golgiensis","veziculă Golgi","golgiensis","golgi","golgiensis","de","veziculă","de","transport","","","","","","","","",""
"96",10277,"lysosoma","lizozom","lysosoma","lizozom","lysosoma","lizozom","lizozom","","","","","","","","","","",""
"97",10293,"telolysosoma","corp rezidual","telolysosoma","","telolysosoma","corp","corp","rezidual","","","","","","","","","",""
"98",10293,"corpusculum residuale","corp rezidual","corp","corp","corpusculum","corp","corp","rezidual","","","","","","","","","",""
"99",10293,"corpusculum residuale","corp rezidual","residuale","rezidual","residuale","rezidual","corp","rezidual","","","","","","","","","",""
"100",10296,"peroxysoma","peroxizom","peroxysoma","peroxizom","peroxysoma","peroxizom","peroxizom","microcorpuscul","","","","","","","","","",""
"101",10298,"matrix peroxysomatica","matrice a peroxizomului","matrice","matrice","matrix","matrice","matrice","a","peroxizomului","","","","","","","","",""
"102",10298,"matrix peroxysomatica","matrice a peroxizomului","peroxysomatica","a peroxizomului","peroxysomatica","peroxizomului","matrice","a","peroxizomului","","","","","","","","",""
"103",10299,"exocytosis","exocitoză","exocitoza","exocitoză","exocytosis","exocitoză","exocitoză","","","","","","","","","","",""
"104",10302,"vesicula secretoria","granulă secretorie","vezicii biliare","","vesicula","veziculă","veziculă","secretorie","granulă","secretorie","","","","","","","",""
"105",10302,"vesicula secretoria","granulă secretorie","secretorie","secretorie","secretoria","secretorie","veziculă","secretorie","granulă","secretorie","","","","","","","",""
"106",10302,"granulum secretorium","granulă secretorie","granulă","granulă","granulum","granulă","veziculă","secretorie","granulă","secretorie","","","","","","","",""
"107",10302,"granulum secretorium","granulă secretorie","secretorie","secretorie","secretorium","secretorie","veziculă","secretorie","granulă","secretorie","","","","","","","",""
"108",10302,"vacuola secretoria","granulă secretorie","vacuole","","vacuola","granulă","veziculă","secretorie","granulă","secretorie","","","","","","","",""
"109",10302,"vacuola secretoria","granulă secretorie","secretorie","secretorie","secretoria","secretorie","veziculă","secretorie","granulă","secretorie","","","","","","","",""
"110",10309,"endocytosis","endocitoză","endocytosis","endocitoză","endocytosis","endocitoză","endocitoză","","","","","","","","","","",""
"111",10310,"pinocytosis","pinocitoză","pinocitoza","pinocitoză","pinocytosis","pinocitoză","pinocitoză","","","","","","","","","","",""
"112",10314,"phagocytosis","fagocitoză","fagocitoză","fagocitoză","phagocytosis","fagocitoză","fagocitoză","","","","","","","","","","",""
"113",10317,"vesicula pinocytotica","veziculă de pinocitoză","vezicii biliare","veziculă","vesicula","veziculă","veziculă","de","pinocitoză","","","","","","","","",""
"114",10317,"vesicula pinocytotica","veziculă de pinocitoză","pinocytotica","de pinocitoză","pinocytotica","pinocitoză","veziculă","de","pinocitoză","","","","","","","","",""
"115",10317,"pinosoma","veziculă de pinocitoză","pinosoma","","pinosoma","pinocitoză","veziculă","de","pinocitoză","","","","","","","","",""
"116",10331,"phagosoma","vacuolă de fagocitoză","phagosoma","vacuolă de fagocitoză","phagosoma","fagozom","fagozom","vacuolă","de","fagocitoză","","","","","","","",""
"117",10335,"corpusculum residuale","corp rezidual","corp","corp","corpusculum","corp","corp","rezidual","","","","","","","","","",""
"118",10335,"corpusculum residuale","corp rezidual","residuale","rezidual","residuale","rezidual","corp","rezidual","","","","","","","","","",""
"119",10344,"granulum glycogeni","incluziune de glicogen","granulă","incluziune","granulum","de","depozit","de","glicogen","","","","","","","","",""
"120",10344,"granulum glycogeni","incluziune de glicogen","glicogen","de glicogen","glycogeni","glicogen","depozit","de","glicogen","","","","","","","","",""
"121",10348,"gutta adipis","incluziune lipidică","picătură","incluziune","gutta","incluziune","incluziune","lipidică","","","","","","","","","",""
"122",10348,"gutta adipis","incluziune lipidică","grăsime","lipidică","adipis","lipidică","incluziune","lipidică","","","","","","","","","",""
"123",10353,"cytoskeleton","citoschelet","citoscheletului","citoschelet","cytoskeleton","citoschelet","citoschelet","","","","","","","","","","",""
"124",10354,"microtubulus","microtubul","microtubulus","microtubul","microtubulus","microtubul","microtubul","","","","","","","","","","",""
"125",10355,"tubulinum","tubulină","tubulinei","tubulină","tubulinum","tubulină","tubulină","","","","","","","","","","",""
"126",10361,"dyneinum","dineină","dyneinum","dineină","dyneinum","dineină","dineină","","","","","","","","","","",""
"127",10363,"cilium","cil","consiliu","cil","cilium","cil","cil","","","","","","","","","","",""
"128",10364,"flagellum","flagel","flagel","flagel","flagellum","flagel","flagel","","","","","","","","","","",""
"129",10365,"microfilamentum","filament de actină","microfilamentum","","microfilamentum","filament","filament","de","actină","microfilament","de","actină","","","","","",""
"130",10365,"filamentum actini","filament de actină","filament","filament","filamentum","filament","filament","de","actină","microfilament","de","actină","","","","","",""
"131",10365,"filamentum actini","filament de actină","actina","de actină","actini","actină","filament","de","actină","microfilament","de","actină","","","","","",""
"132",10370,"myosinum","miozină","myosin","miozină","myosinum","miozină","miozină","","","","","","","","","","",""
"133",10384,"tonofilamentum","tonofilament","tonofilamentum","tonofilament","tonofilamentum","tonofilament","tonofilament","","","","","","","","","","",""
"134",10385,"tonofibrilla","tonofibrilă","tonofibrilla","tonofibrilă","tonofibrilla","tonofibrilă","tonofibrilă","","","","","","","","","","",""
"135",10396,"interphasis","interfază","interphasis","interfază","interphasis","interfază","interfază","","","","","","","","","","",""
"136",10406,"centriolum","centriol","centriolum","centriol","centriolum","centriol","centriol","","","","","","","","","","",""
"137",10422,"mitosis","mitoză","capabile să","mitoză","mitosis","mitoză","mitoză","diviziune","celulară","","","","","","","","",""
"138",10422,"phasis m","mitoză","fasis","","phasis","mitoză","mitoză","diviziune","celulară","","","","","","","","",""
"139",10422,"phasis m","mitoză","m","","m","mitoză","mitoză","diviziune","celulară","","","","","","","","",""
"140",10428,"prophasis","profază","prophasis","profază","prophasis","profază","profază","","","","","","","","","","",""
"141",10432,"metaphasis","metafază","metaphasis","metafază","metaphasis","metafază","metafază","","","","","","","","","","",""
"142",10442,"chromosoma","cromozom","cromozom","cromozom","chromosoma","cromozom","cromozom","","","","","","","","","","",""
"143",10529,"parenchyma","parenchim","parenchim","parenchim","parenchyma","parenchim","parenchim","","","","","","","","","","",""
"144",10530,"stroma","stromă","stroma","stromă","stroma","stromă","stromă","","","","","","","","","","",""
"145",10531,"capsula","capsulă","capsula","capsulă","capsula","capsulă","capsulă","","","","","","","","","","",""
"146",10532,"membrana basalis","membrană bazală","filme","membrană","membrana","membrană","membrană","bazală","","","","","","","","","",""
"147",10532,"membrana basalis","membrană bazală","bazale","bazală","basalis","bazală","membrană","bazală","","","","","","","","","",""
"148",10540,"hyperplasia","hiperplazie","hiperplazie","hiperplazie","hyperplasia","hiperplazie","hiperplazie","","","","","","","","","","",""
"149",10541,"hypertrophia","hipertrofie","hipertrofiat","hipertrofie","hypertrophia","hipertrofie","hipertrofie","","","","","","","","","","",""
"150",10545,"metaplasia","metaplazie","metaplazie","metaplazie","metaplasia","metaplazie","metaplazie","","","","","","","","","","",""
"151",10570,"nexus","joncțiune gap","legătură","joncțiune gap","nexus","joncțiune","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"152",10570,"macula communicans","joncțiune gap","punct","","macula","joncțiune","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"153",10570,"macula communicans","joncțiune gap","comunicarea","","communicans","comunicare","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"154",10570,"synapsis non vesicularis","joncțiune gap","sinapselor","","synapsis","de","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"155",10570,"synapsis non vesicularis","joncțiune gap","nu","","non","joncțiune","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"156",10570,"synapsis non vesicularis","joncțiune gap","veziculoase","","vesicularis","de","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"157",10570,"synapsis electrica","joncțiune gap","sinapselor","","synapsis","de","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"158",10570,"synapsis electrica","joncțiune gap","electric","","electrica","de","joncțiune","de","comunicare","joncțiune","gap","nexus","","","","","",""
"159",10571,"myofilamentum tenue","filament de actină","myofilamentum","","myofilamentum","filament","filament","de","actină","filament","subțire","microfilament","de","actină","","","",""
"160",10571,"myofilamentum tenue","filament de actină","subțire","","tenue","filament","filament","de","actină","filament","subțire","microfilament","de","actină","","","",""
"161",10571,"filamentum actini","filament de actină","filament","filament","filamentum","filament","filament","de","actină","filament","subțire","microfilament","de","actină","","","",""
"162",10571,"filamentum actini","filament de actină","actina","de actină","actini","actină","filament","de","actină","filament","subțire","microfilament","de","actină","","","",""
"163",10572,"textus epithelialis","țesut epitelial","text","țesut","textus","țesut","țesut","epitelial","","","","","","","","","",""
"164",10572,"textus epithelialis","țesut epitelial","epiteliale","epitelial","epithelialis","epitelial","țesut","epitelial","","","","","","","","","",""
"165",10573,"epithelium","epiteliu","epiteliu","epiteliu","epithelium","epiteliu","epiteliu","","","","","","","","","","",""
"166",10576,"epitheliocytus","celulă epitelială","epitheliocytus","","epitheliocytus","epitelială","celulă","epitelială","","","","","","","","","",""
"167",10576,"cellula epithelialis","celulă epitelială","celulă","celulă","cellula","celulă","celulă","epitelială","","","","","","","","","",""
"168",10576,"cellula epithelialis","celulă epitelială","epiteliale","epitelială","epithelialis","epitelială","celulă","epitelială","","","","","","","","","",""
"169",10578,"polus apicalis","pol apical","pol","pol","polus","pol","pol","apical","","","","","","","","","",""
"170",10578,"polus apicalis","pol apical","apical","apical","apicalis","apical","pol","apical","","","","","","","","","",""
"171",10578,"apex cellularis","pol apical","vârf","","apex","pol","pol","apical","","","","","","","","","",""
"172",10578,"apex cellularis","pol apical","celulă","","cellularis","pol","pol","apical","","","","","","","","","",""
"173",10579,"polus basalis","pol bazal","pol","pol","polus","pol","pol","bazal","","","","","","","","","",""
"174",10579,"polus basalis","pol bazal","bazale","bazal","basalis","bazal","pol","bazal","","","","","","","","","",""
"175",10579,"basis cellularis","pol bazal","de bază","","basis","bazal","pol","bazal","","","","","","","","","",""
"176",10579,"basis cellularis","pol bazal","celulă","","cellularis","pol","pol","bazal","","","","","","","","","",""
"177",10581,"facies apicalis","suprafață apicală","față","suprafață","facies","suprafață","suprafață","apicală","suprafață","liberă","","","","","","","",""
"178",10581,"facies apicalis","suprafață apicală","apical","apicală","apicalis","apicală","suprafață","apicală","suprafață","liberă","","","","","","","",""
"179",10597,"serocytus","celulă seroasă","serocytus","celulă seroasă","serocytus","seroasă","celulă","seroasă","","","","","","","","","",""
"180",10600,"endocrinocytus","celulă endocrină","endocrinocytus","celulă endocrină","endocrinocytus","endocrină","celulă","endocrină","","","","","","","","","",""
"181",10605,"epithelium superficiale","epiteliu de acoperire","epiteliu","epiteliu","epithelium","epiteliu","epiteliu","de","acoperire","","","","","","","","",""
"182",10605,"epithelium superficiale","epiteliu de acoperire","suprafață","de acoperire","superficiale","de","epiteliu","de","acoperire","","","","","","","","",""
"183",10606,"epithelium simplex squamosum","epiteliu simplu scuamos","epiteliu","epiteliu","epithelium","epiteliu","epiteliu","simplu","pavimentos","epiteliu","unistratificat","pavimentos","epiteliu","simplu","scuamos","epiteliu","unistratificat","scuamos"
"184",10606,"epithelium simplex squamosum","epiteliu simplu scuamos","simplu","simplu","simplex","simplu","epiteliu","simplu","pavimentos","epiteliu","unistratificat","pavimentos","epiteliu","simplu","scuamos","epiteliu","unistratificat","scuamos"
"185",10606,"epithelium simplex squamosum","epiteliu simplu scuamos","solzos","scuamos","squamosum","scuamos","epiteliu","simplu","pavimentos","epiteliu","unistratificat","pavimentos","epiteliu","simplu","scuamos","epiteliu","unistratificat","scuamos"
"186",10607,"endothelium","endoteliu","endoteliul","endoteliu","endothelium","endoteliu","endoteliu","","","","","","","","","","",""
"187",10610,"endotheliocytus","celulă endotelială","endotheliocytus","celulă endotelială","endotheliocytus","endotelială","celulă","endotelială","celulă","a","endoteliului","capilar","","","","","",""
"188",10624,"mesothelium","mezoteliu","mesothelium","mezoteliu","mesothelium","mezoteliu","mezoteliu","","","","","","","","","","",""
"189",10626,"epithelium simplex cuboideum","epiteliu simplu cubic","epiteliu","epiteliu","epithelium","epiteliu","epiteliu","simplu","cubic","epiteliu","unistratificat","cubic","","","","","",""
"190",10626,"epithelium simplex cuboideum","epiteliu simplu cubic","simplu","simplu","simplex","simplu","epiteliu","simplu","cubic","epiteliu","unistratificat","cubic","","","","","",""
"191",10626,"epithelium simplex cuboideum","epiteliu simplu cubic","cuboideum","cubic","cuboideum","cubic","epiteliu","simplu","cubic","epiteliu","unistratificat","cubic","","","","","",""
"192",10627,"epithelium simplex columnare","epiteliu simplu columnar","epiteliu","epiteliu","epithelium","epiteliu","epiteliu","simplu","cilindric","epiteliu","unistratificat","cilindric","","","","","",""
"193",10627,"epithelium simplex columnare","epiteliu simplu columnar","simplu","simplu","simplex","simplu","epiteliu","simplu","cilindric","epiteliu","unistratificat","cilindric","","","","","",""
"194",10627,"epithelium simplex columnare","epiteliu simplu columnar","în formă de coloană","columnar","columnare","cilindric","epiteliu","simplu","cilindric","epiteliu","unistratificat","cilindric","","","","","",""
"195",10628,"epithelium pseudostratificatum columnare","epiteliu pseudostratificat columnar","epiteliu","epiteliu","epithelium","epiteliu","epiteliu","pseudostratificat","cilindric","","","","","","","","",""
"196",10628,"epithelium pseudostratificatum columnare","epiteliu pseudostratificat columnar","pseudostratificatum","pseudostratificat","pseudostratificatum","pseudostratificat","epiteliu","pseudostratificat","cilindric","","","","","","","","",""
"197",10628,"epithelium pseudostratificatum columnare","epiteliu pseudostratificat columnar","în formă de coloană","columnar","columnare","cilindric","epiteliu","pseudostratificat","cilindric","","","","","","","","",""
"198",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","epiteliu","epiteliu","epithelium","epiteliu","epiteliu","stratificat","pavimentos","necheratinizat","","","","","","","",""
"199",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","stratificatum","stratificat","stratificatum","stratificat","epiteliu","stratificat","pavimentos","necheratinizat","","","","","","","",""
"200",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","solzos","scuamos","squamosum","epiteliu","epiteliu","stratificat","pavimentos","necheratinizat","","","","","","","",""
"201",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","nu","nekeratinizat","non","necheratinizat","epiteliu","stratificat","pavimentos","necheratinizat","","","","","","","",""
"202",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","cornificatum","","cornificatum","stratificat","epiteliu","stratificat","pavimentos","necheratinizat","","","","","","","",""
