"","term_id","oTerms","nTerms","base","oWords","matchWords","c..celulă....nucleu....citoplasmă....citosol....citosol....citosol...","c..............................................multinucleată...","c......................................................primordială...","c.............................................................","c..............................................................1"
"101",10298,"matrix peroxysomatica","matrice a peroxizomului","matrice","matrix","matrice","matrice","a","peroxizomului","",""
"102",10298,"matrix peroxysomatica","matrice a peroxizomului","peroxysomatica","peroxysomatica","peroxizomului","matrice","a","peroxizomului","",""
"103",10299,"exocytosis","exocitoză","exocitoza","exocytosis","exocitoză","exocitoză","","","",""
"104",10302,"vesicula secretoria","granulă secretorie","vezicii biliare","vesicula","","granulă","secretorie","","",""
"105",10302,"vesicula secretoria","granulă secretorie","secretorie","secretoria","secretorie","granulă","secretorie","","",""
"106",10302,"granulum secretorium","granulă secretorie","granulă","granulum","granulă","granulă","secretorie","","",""
"107",10302,"granulum secretorium","granulă secretorie","secretorie","secretorium","secretorie","granulă","secretorie","","",""
"108",10302,"vacuola secretoria","granulă secretorie","vacuole","vacuola","granulă","granulă","secretorie","","",""
"109",10302,"vacuola secretoria","granulă secretorie","secretorie","secretoria","secretorie","granulă","secretorie","","",""
"110",10309,"endocytosis","endocitoză","endocytosis","endocytosis","endocitoză","endocitoză","","","",""
"111",10310,"pinocytosis","pinocitoză","pinocitoza","pinocytosis","pinocitoză","pinocitoză","","","",""
"112",10314,"phagocytosis","fagocitoză","fagocitoză","phagocytosis","fagocitoză","fagocitoză","","","",""
"113",10317,"vesicula pinocytotica","veziculă de pinocitoză","vezicii biliare","vesicula","","veziculă","de","pinocitoză","",""
"114",10317,"vesicula pinocytotica","veziculă de pinocitoză","pinocytotica","pinocytotica","pinocitoză","veziculă","de","pinocitoză","",""
"115",10317,"pinosoma","veziculă de pinocitoză","pinosoma","pinosoma","pinocitoză","veziculă","de","pinocitoză","",""
"116",10331,"phagosoma","vacuolă de fagocitoză","phagosoma","phagosoma","","vacuolă","de","fagocitoză","",""
"117",10335,"corpusculum residuale","corp rezidual","corp","corpusculum","corp","corp","rezidual","","",""
"118",10335,"corpusculum residuale","corp rezidual","residuale","residuale","rezidual","corp","rezidual","","",""
"119",10344,"granulum glycogeni","incluziune de glicogen","granulă","granulum","","incluziune","de","glicogen","",""
"120",10344,"granulum glycogeni","incluziune de glicogen","glicogen","glycogeni","glicogen","incluziune","de","glicogen","",""
"121",10348,"gutta adipis","incluziune lipidică","picătură","gutta","","incluziune","lipidică","","",""
"122",10348,"gutta adipis","incluziune lipidică","grăsime","adipis","","incluziune","lipidică","","",""
"123",10353,"cytoskeleton","citoschelet","citoscheletului","cytoskeleton","citoschelet","citoschelet","","","",""
"124",10354,"microtubulus","microtubul","microtubulus","microtubulus","microtubul","microtubul","","","",""
"125",10355,"tubulinum","tubulină","tubulinei","tubulinum","tubulină","tubulină","","","",""
"126",10361,"dyneinum","dineină","dyneinum","dyneinum","dineină","dineină","","","",""
"127",10363,"cilium","cil","consiliu","cilium","","cil","","","",""
"128",10364,"flagellum","flagel","flagel","flagellum","flagel","flagel","","","",""
"129",10365,"microfilamentum","filament de actină","microfilamentum","microfilamentum","filament","filament","de","actină","",""
"130",10365,"filamentum actini","filament de actină","filament","filamentum","filament","filament","de","actină","",""
"131",10365,"filamentum actini","filament de actină","actina","actini","actină","filament","de","actină","",""
"132",10370,"myosinum","miozină","myosin","myosinum","miozină","miozină","","","",""
"133",10384,"tonofilamentum","tonofilament","tonofilamentum","tonofilamentum","tonofilament","tonofilament","","","",""
"134",10385,"tonofibrilla","tonofibrilă","tonofibrilla","tonofibrilla","tonofibrilă","tonofibrilă","","","",""
"135",10396,"interphasis","interfază","interphasis","interphasis","interfază","interfază","","","",""
"136",10406,"centriolum","centriol","centriolum","centriolum","centriol","centriol","","","",""
"137",10422,"mitosis","mitoză","capabile să","mitosis","","mitoză","","","",""
"138",10422,"phasis m","mitoză","fasis","phasis","","mitoză","","","",""
"139",10422,"phasis m","mitoză","m","m","","mitoză","","","",""
"140",10428,"prophasis","profază","prophasis","prophasis","profază","profază","","","",""
"141",10432,"metaphasis","metafază","metaphasis","metaphasis","metafază","metafază","","","",""
"142",10442,"chromosoma","cromozom","cromozom","chromosoma","cromozom","cromozom","","","",""
"143",10529,"parenchyma","parenchim","parenchim","parenchyma","parenchim","parenchim","","","",""
"144",10530,"stroma","stromă","stroma","stroma","stromă","stromă","","","",""
"145",10531,"capsula","capsulă","capsula","capsula","capsulă","capsulă","","","",""
"146",10532,"membrana basalis","membrană bazală","filme","membrana","membrană","membrană","bazală","","",""
"147",10532,"membrana basalis","membrană bazală","bazale","basalis","bazală","membrană","bazală","","",""
"148",10540,"hyperplasia","hiperplazie","hiperplazie","hyperplasia","hiperplazie","hiperplazie","","","",""
"149",10541,"hypertrophia","hipertrofie","hipertrofiat","hypertrophia","hipertrofie","hipertrofie","","","",""
"150",10545,"metaplasia","metaplazie","metaplazie","metaplasia","metaplazie","metaplazie","","","",""
"151",10570,"nexus","joncțiune gap","legătură","nexus","","joncțiune","gap","","",""
"152",10570,"macula communicans","joncțiune gap","punct","macula","joncțiune","joncțiune","gap","","",""
"153",10570,"macula communicans","joncțiune gap","comunicarea","communicans","","joncțiune","gap","","",""
"154",10570,"synapsis non vesicularis","joncțiune gap","sinapselor","synapsis","","joncțiune","gap","","",""
"155",10570,"synapsis non vesicularis","joncțiune gap","nu","non","joncțiune","joncțiune","gap","","",""
"156",10570,"synapsis non vesicularis","joncțiune gap","veziculoase","vesicularis","","joncțiune","gap","","",""
"157",10570,"synapsis electrica","joncțiune gap","sinapselor","synapsis","","joncțiune","gap","","",""
"158",10570,"synapsis electrica","joncțiune gap","electric","electrica","","joncțiune","gap","","",""
"159",10571,"myofilamentum tenue","filament de actină","myofilamentum","myofilamentum","filament","filament","de","actină","",""
"160",10571,"myofilamentum tenue","filament de actină","subțire","tenue","","filament","de","actină","",""
"161",10571,"filamentum actini","filament de actină","filament","filamentum","filament","filament","de","actină","",""
"162",10571,"filamentum actini","filament de actină","actina","actini","actină","filament","de","actină","",""
"163",10572,"textus epithelialis","țesut epitelial","text","textus","epitelial","țesut","epitelial","","",""
"164",10572,"textus epithelialis","țesut epitelial","epiteliale","epithelialis","epitelial","țesut","epitelial","","",""
"165",10573,"epithelium","epiteliu","epiteliu","epithelium","epiteliu","epiteliu","","","",""
"166",10576,"epitheliocytus","celulă epitelială","epitheliocytus","epitheliocytus","epitelială","celulă","epitelială","","",""
"167",10576,"cellula epithelialis","celulă epitelială","celulă","cellula","epitelială","celulă","epitelială","","",""
"168",10576,"cellula epithelialis","celulă epitelială","epiteliale","epithelialis","epitelială","celulă","epitelială","","",""
"169",10578,"polus apicalis","pol apical","pol","polus","apical","pol","apical","","",""
"170",10578,"polus apicalis","pol apical","apical","apicalis","apical","pol","apical","","",""
"171",10578,"apex cellularis","pol apical","vârf","apex","","pol","apical","","",""
"172",10578,"apex cellularis","pol apical","celulă","cellularis","","pol","apical","","",""
"173",10579,"polus basalis","pol bazal","pol","polus","bazal","pol","bazal","","",""
"174",10579,"polus basalis","pol bazal","bazale","basalis","bazal","pol","bazal","","",""
"175",10579,"basis cellularis","pol bazal","de bază","basis","bazal","pol","bazal","","",""
"176",10579,"basis cellularis","pol bazal","celulă","cellularis","","pol","bazal","","",""
"177",10581,"facies apicalis","suprafață apicală","față","facies","apicală","suprafață","apicală","","",""
"178",10581,"facies apicalis","suprafață apicală","apical","apicalis","apicală","suprafață","apicală","","",""
"179",10597,"serocytus","celulă seroasă","serocytus","serocytus","seroasă","celulă","seroasă","","",""
"180",10600,"endocrinocytus","celulă endocrină","endocrinocytus","endocrinocytus","endocrină","celulă","endocrină","","",""
"181",10605,"epithelium superficiale","epiteliu de acoperire","epiteliu","epithelium","epiteliu","epiteliu","de","acoperire","",""
"182",10605,"epithelium superficiale","epiteliu de acoperire","suprafață","superficiale","","epiteliu","de","acoperire","",""
"183",10606,"epithelium simplex squamosum","epiteliu simplu scuamos","epiteliu","epithelium","epiteliu","epiteliu","simplu","scuamos","",""
"184",10606,"epithelium simplex squamosum","epiteliu simplu scuamos","simplu","simplex","simplu","epiteliu","simplu","scuamos","",""
"185",10606,"epithelium simplex squamosum","epiteliu simplu scuamos","solzos","squamosum","","epiteliu","simplu","scuamos","",""
"186",10607,"endothelium","endoteliu","endoteliul","endothelium","endoteliu","endoteliu","","","",""
"187",10610,"endotheliocytus","celulă endotelială","endotheliocytus","endotheliocytus","endotelială","celulă","endotelială","","",""
"188",10624,"mesothelium","mezoteliu","mesothelium","mesothelium","mezoteliu","mezoteliu","","","",""
"189",10626,"epithelium simplex cuboideum","epiteliu simplu cubic","epiteliu","epithelium","epiteliu","epiteliu","simplu","cubic","",""
"190",10626,"epithelium simplex cuboideum","epiteliu simplu cubic","simplu","simplex","simplu","epiteliu","simplu","cubic","",""
"191",10626,"epithelium simplex cuboideum","epiteliu simplu cubic","cuboideum","cuboideum","cubic","epiteliu","simplu","cubic","",""
"192",10627,"epithelium simplex columnare","epiteliu simplu columnar","epiteliu","epithelium","epiteliu","epiteliu","simplu","columnar","",""
"193",10627,"epithelium simplex columnare","epiteliu simplu columnar","simplu","simplex","simplu","epiteliu","simplu","columnar","",""
"194",10627,"epithelium simplex columnare","epiteliu simplu columnar","în formă de coloană","columnare","","epiteliu","simplu","columnar","",""
"195",10628,"epithelium pseudostratificatum columnare","epiteliu pseudostratificat columnar","epiteliu","epithelium","epiteliu","epiteliu","pseudostratificat","columnar","",""
"196",10628,"epithelium pseudostratificatum columnare","epiteliu pseudostratificat columnar","pseudostratificatum","pseudostratificatum","pseudostratificat","epiteliu","pseudostratificat","columnar","",""
"197",10628,"epithelium pseudostratificatum columnare","epiteliu pseudostratificat columnar","în formă de coloană","columnare","","epiteliu","pseudostratificat","columnar","",""
"198",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","epiteliu","epithelium","epiteliu","epiteliu","stratificat","scuamos","nekeratinizat",""
"199",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","stratificatum","stratificatum","nekeratinizat","epiteliu","stratificat","scuamos","nekeratinizat",""
"200",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","solzos","squamosum","","epiteliu","stratificat","scuamos","nekeratinizat",""
"201",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","nu","non","nekeratinizat","epiteliu","stratificat","scuamos","nekeratinizat",""
"202",10632,"epithelium stratificatum squamosum non cornificatum","epiteliu stratificat scuamos nekeratinizat","cornificatum","cornificatum","stratificat","epiteliu","stratificat","scuamos","nekeratinizat",""
"203",10637,"epithelium stratificatum squamosum cornificatum","epiteliu stratificat scuamos keratinizat","epiteliu","epithelium","epiteliu","epiteliu","stratificat","scuamos","keratinizat",""
"204",10637,"epithelium stratificatum squamosum cornificatum","epiteliu stratificat scuamos keratinizat","stratificatum","stratificatum","keratinizat","epiteliu","stratificat","scuamos","keratinizat",""
"205",10637,"epithelium stratificatum squamosum cornificatum","epiteliu stratificat scuamos keratinizat","solzos","squamosum","","epiteliu","stratificat","scuamos","keratinizat",""
"206",10637,"epithelium stratificatum squamosum cornificatum","epiteliu stratificat scuamos keratinizat","cornificatum","cornificatum","stratificat","epiteliu","stratificat","scuamos","keratinizat",""
"207",10638,"epithelium stratificatum cuboideum","epiteliu stratificat cubic","epiteliu","epithelium","epiteliu","epiteliu","stratificat","cubic","",""
"208",10638,"epithelium stratificatum cuboideum","epiteliu stratificat cubic","stratificatum","stratificatum","stratificat","epiteliu","stratificat","cubic","",""
"209",10638,"epithelium stratificatum cuboideum","epiteliu stratificat cubic","cuboideum","cuboideum","cubic","epiteliu","stratificat","cubic","",""
"210",10639,"epithelium stratificatum columnare","epiteliu stratificat cilindric","epiteliu","epithelium","epiteliu","epiteliu","stratificat","cilindric","",""
"211",10639,"epithelium stratificatum columnare","epiteliu stratificat cilindric","stratificatum","stratificatum","stratificat","epiteliu","stratificat","cilindric","",""
"212",10639,"epithelium stratificatum columnare","epiteliu stratificat cilindric","în formă de coloană","columnare","","epiteliu","stratificat","cilindric","",""
"213",10655,"epithelium glandulare","epiteliu glandular","epiteliu","epithelium","epiteliu","epiteliu","glandular","","",""
"214",10655,"epithelium glandulare","epiteliu glandular","glandular","glandulare","glandular","epiteliu","glandular","","",""
"215",10656,"glandula","glandă","glandă","glandula","glandă","glandă","","","",""
"216",10658,"secretio apocrina","secreție apocrină","secreție","secretio","secreție","secreție","apocrină","","",""
"217",10658,"secretio apocrina","secreție apocrină","apocrina","apocrina","apocrină","secreție","apocrină","","",""
"218",10661,"secretio exocrina","secreție exocrină","secreție","secretio","secreție","secreție","exocrină","","",""
"219",10661,"secretio exocrina","secreție exocrină","exocrina","exocrina","exocrină","secreție","exocrină","","",""
"220",10668,"glandula exocrina","glandă exocrină","glandă","glandula","glandă","glandă","exocrină","","",""
"221",10668,"glandula exocrina","glandă exocrină","exocrina","exocrina","exocrină","glandă","exocrină","","",""
"222",10670,"epitheliocytus caliciformis","celulă caliciformă","epitheliocytus","epitheliocytus","","celulă","caliciformă","","",""
"223",10670,"epitheliocytus caliciformis","celulă caliciformă","caliciformis","caliciformis","caliciformă","celulă","caliciformă","","",""
"224",10674,"glandula simplex","glandă simplă","glandă","glandula","glandă","glandă","simplă","","",""
"225",10674,"glandula simplex","glandă simplă","simplu","simplex","simplă","glandă","simplă","","",""
"226",10675,"glandula tubulosa","glandă tubulară","glandă","glandula","tubulară","glandă","tubulară","","",""
"227",10675,"glandula tubulosa","glandă tubulară","tubular","tubulosa","tubulară","glandă","tubulară","","",""
"228",10676,"glandula tubulosa simplex","glandă tubulară simplă","glandă","glandula","tubulară","glandă","tubulară","simplă","",""
"229",10676,"glandula tubulosa simplex","glandă tubulară simplă","tubular","tubulosa","tubulară","glandă","tubulară","simplă","",""
"230",10676,"glandula tubulosa simplex","glandă tubulară simplă","simplu","simplex","simplă","glandă","tubulară","simplă","",""
"231",10677,"glandula tubulosa ramosa","glandă tubulară ramificată","glandă","glandula","tubulară","glandă","tubulară","ramificată","",""
"232",10677,"glandula tubulosa ramosa","glandă tubulară ramificată","tubular","tubulosa","tubulară","glandă","tubulară","ramificată","",""
"233",10677,"glandula tubulosa ramosa","glandă tubulară ramificată","branșament","ramosa","","glandă","tubulară","ramificată","",""
"234",10679,"glandula acinosa","glandă acinară","glandă","glandula","glandă","glandă","acinară","","",""
"235",10679,"glandula acinosa","glandă acinară","like","acinosa","","glandă","acinară","","",""
"236",10687,"glandula tubuloacinosa composita","glandă tubuloacinară compusă","glandă","glandula","glandă","glandă","tubuloacinară","compusă","",""
"237",10687,"glandula tubuloacinosa composita","glandă tubuloacinară compusă","tubuloacinosa","tubuloacinosa","tubuloacinară","glandă","tubuloacinară","compusă","",""
"238",10687,"glandula tubuloacinosa composita","glandă tubuloacinară compusă","compozit","composita","compusă","glandă","tubuloacinară","compusă","",""
"239",10704,"acinus","acin","crimă","acinus","acin","acin","","","",""
"240",10707,"myoepitheliocytus","celulă mioepitelială","myoepitheliocytus","myoepitheliocytus","mioepitelială","celulă","mioepitelială","","",""
"241",10713,"myoepitheliocytus","celulă mioepitelială","myoepitheliocytus","myoepitheliocytus","mioepitelială","celulă","mioepitelială","","",""
"242",10726,"glandula endocrina","glandă endocrină","glandă","glandula","glandă","glandă","endocrină","","",""
"243",10726,"glandula endocrina","glandă endocrină","endocrin","endocrina","endocrină","glandă","endocrină","","",""
"244",10735,"fibroblastus","fibroblast","fibroblaste","fibroblastus","fibroblast","fibroblast","","","",""
"245",10736,"fibrocytus","fibrocit","fibrocytus","fibrocytus","fibrocit","fibrocit","","","",""
"246",10738,"adipocytus","adipocit","adipocytus","adipocytus","adipocit","adipocit","","","",""
"247",10739,"plasmocytus","plasmocit","plasmocytus","plasmocytus","plasmocit","plasmocit","","","",""
"248",10742,"macrophagocytus","macrofag","macrophagocytus","macrophagocytus","macrofag","macrofag","","","",""
"249",10747,"mastocytus","mastocit","mastocytus","mastocytus","mastocit","mastocit","","","",""
"250",10750,"myofibroblastus","miofibroblast","myofibroblastus","myofibroblastus","miofibroblast","miofibroblast","","","",""
"251",10751,"cellula pigmentata","celulă pigmentară","celulă","cellula","celulă","celulă","pigmentară","","",""
"252",10751,"cellula pigmentata","celulă pigmentară","pigmentat","pigmentata","pigmentară","celulă","pigmentară","","",""
"253",10753,"melanocytus","melanocit","melanocite","melanocytus","melanocit","melanocit","","","",""
"254",10754,"matrix extracellularis","matrice extracelulară","matrice","matrix","extracelulară","matrice","extracelulară","","",""
"255",10754,"matrix extracellularis","matrice extracelulară","extracelular","extracellularis","extracelulară","matrice","extracelulară","","",""
"256",10756,"glycosaminoglycanum","glicozaminoglican","glicozaminoglicani","glycosaminoglycanum","glicozaminoglican","glicozaminoglican","","","",""
"257",10758,"proteoglycanum","proteoglican","proteoglycanum","proteoglycanum","proteoglican","proteoglican","","","",""
"258",10759,"collagenum","colagen","colagenul","collagenum","colagen","colagen","","","",""
"259",10760,"procollagenum","procolagen","procollagenum","procollagenum","procolagen","procolagen","","","",""
"260",10762,"fasciculus collageni","fascicul de colagen","fișier","fasciculus","","fascicul","de","colagen","",""
"261",10762,"fasciculus collageni","fascicul de colagen","colagenul","collageni","colagen","fascicul","de","colagen","",""
"262",10763,"fibra collageni","fibră de colagen","fibră","fibra","fibră","fibră","de","colagen","",""
"263",10763,"fibra collageni","fibră de colagen","colagenul","collageni","colagen","fibră","de","colagen","",""
"264",10765,"tropocollagenum","tropocolagen","tropocollagenum","tropocollagenum","tropocolagen","tropocolagen","","","",""
"265",10769,"fibra elastica","fibră elastică","fibră","fibra","elastică","fibră","elastică","","",""
